Kolczyk;data_urodzenia;p³eæ;waga;nr_kojca;id_rasy
PL-2020-1147;2020-07-04;tak;82;3;8
PL-2020-1148;2020-07-05;tak;84;6;8
PL-2020-1149;2020-08-04;tak;62;20;4
PL-2020-1150;2020-08-05;tak;106;2;13
PL-2020-1151;2020-08-06;tak;60;21;11
PL-2020-1152;2020-08-07;nie;63;7;12
PL-2020-1153;2020-08-08;tak;105;19;5
PL-2020-1154;2020-08-09;nie;112;16;16
PL-2020-1155;2020-08-04;nie;60;16;20
PL-2020-1156;2020-08-05;tak;110;18;10
PL-2020-1157;2020-08-06;tak;68;12;18
PL-2020-1158;2020-08-07;tak;71;15;6
PL-2020-1159;2020-08-08;nie;76;14;15
PL-2020-1160;2020-08-09;tak;80;6;5
PL-2020-1161;2020-08-06;nie;71;2;10
PL-2020-1162;2020-08-07;tak;71;15;10
PL-2020-1163;2020-08-08;tak;93;10;11
PL-2020-1164;2020-08-09;tak;82;18;9
PL-2020-1165;2020-08-10;tak;101;18;2
PL-2020-1166;2020-08-11;tak;70;8;8
PL-2020-1167;2020-06-27;tak;109;16;10
PL-2020-1168;2020-06-28;nie;94;17;15
PL-2020-1169;2020-06-29;tak;61;7;20
PL-2020-1170;2020-06-30;nie;63;9;2
PL-2020-1171;2020-07-01;tak;102;2;14
PL-2020-1172;2020-07-02;nie;98;10;18
PL-2020-1173;2020-06-27;tak;87;2;1
PL-2020-1174;2020-06-28;nie;85;14;1
PL-2020-1175;2020-06-29;tak;71;11;10
PL-2020-1176;2020-06-30;nie;76;19;11
PL-2020-1177;2020-07-01;tak;94;11;6
PL-2020-1178;2020-07-02;nie;94;12;22
PL-2020-1179;2020-07-03;tak;94;3;2
PL-2020-1180;2020-07-04;nie;104;7;13
PL-2020-1181;2020-07-05;nie;64;8;17
PL-2020-1182;2020-07-06;tak;82;11;3
PL-2020-1183;2020-07-07;tak;62;19;10
PL-2020-1184;2020-07-08;nie;98;11;4
PL-2020-1185;2020-07-09;tak;71;2;22
PL-2020-1186;2020-07-10;nie;113;3;14
PL-2020-1187;2020-07-11;nie;100;7;15
PL-2020-1188;2020-06-22;tak;72;17;15
PL-2020-1189;2020-06-23;nie;93;20;6
PL-2020-1190;2020-06-24;nie;116;3;2
PL-2020-1191;2020-06-25;tak;109;10;9
PL-2020-1192;2020-06-26;tak;66;11;22
PL-2020-1193;2020-06-27;tak;109;2;7
PL-2020-1194;2020-06-28;tak;90;18;16
PL-2020-1195;2020-06-29;nie;71;18;3
PL-2020-1196;2020-06-30;nie;67;15;11
PL-2020-1197;2020-07-01;nie;78;19;18
PL-2020-1198;2020-07-02;tak;72;14;13
PL-2020-1199;2020-07-03;nie;117;14;12
PL-2020-1200;2020-07-04;tak;60;20;7
PL-2020-1201;2020-08-19;nie;115;17;10
PL-2020-1202;2020-06-27;tak;119;5;2
PL-2020-1203;2020-06-10;nie;100;6;7
PL-2020-1204;2020-08-31;nie;87;9;12
PL-2020-1205;2020-08-20;tak;86;11;9
PL-2020-1206;2020-06-15;nie;97;15;5
PL-2020-1207;2020-06-15;nie;88;16;7
PL-2020-1208;2020-06-15;tak;63;10;21
PL-2020-1209;2020-08-12;nie;84;20;8
PL-2020-1210;2020-06-15;nie;101;8;9
PL-2020-1211;2020-08-15;nie;83;18;20
PL-2020-1212;2020-06-12;nie;97;18;3
PL-2020-1213;2020-07-07;tak;119;2;10
PL-2020-1214;2020-07-18;nie;109;8;11
PL-2020-1215;2020-07-16;tak;118;14;2
PL-2020-1216;2020-08-11;tak;112;20;13
PL-2020-1217;2020-08-13;nie;80;9;21
PL-2020-1218;2020-07-29;tak;94;13;6
PL-2020-1219;2020-06-25;tak;96;12;3
PL-2020-1220;2020-07-24;nie;105;17;14
PL-2020-1221;2020-06-25;tak;114;18;10
PL-2020-1222;2020-08-15;nie;105;10;15
PL-2020-1223;2020-07-01;tak;100;7;17
PL-2020-1224;2020-08-24;nie;78;15;17
PL-2020-1225;2020-08-31;nie;107;21;2
PL-2020-1226;2020-06-01;nie;88;10;15
PL-2020-1227;2020-08-28;tak;73;9;7
PL-2020-1228;2020-07-02;nie;90;12;3
PL-2020-1229;2020-08-10;nie;67;10;11
PL-2020-1230;2020-08-14;tak;110;6;13
PL-2020-1231;2020-08-05;nie;117;15;19
PL-2020-1232;2020-09-03;tak;61;13;16
PL-2020-1233;2020-06-30;nie;114;16;15
PL-2020-1234;2020-06-03;nie;113;7;22
PL-2020-1235;2020-06-20;nie;117;15;5
PL-2020-1236;2020-07-13;nie;104;5;19
PL-2020-1237;2020-08-08;tak;103;15;3
PL-2020-1238;2020-06-12;tak;90;10;18
PL-2020-1239;2020-08-06;nie;68;2;2
PL-2020-1240;2020-09-02;nie;107;14;5
PL-2020-1241;2020-08-09;nie;63;10;10
PL-2020-1242;2020-07-12;nie;111;7;13
PL-2020-1243;2020-08-31;tak;98;16;22
PL-2020-1244;2020-08-24;tak;89;4;11
PL-2020-1245;2020-08-29;nie;89;20;13
PL-2020-1246;2020-08-27;tak;71;1;6
PL-2020-1247;2020-08-11;tak;75;7;15
PL-2020-1248;2020-06-04;tak;79;21;10
PL-2020-1249;2020-07-20;nie;74;11;9
PL-2020-1250;2020-08-10;nie;113;7;4
PL-2020-1251;2020-08-22;nie;83;13;17
PL-2020-1252;2020-08-17;nie;86;6;5
PL-2020-1253;2020-07-29;tak;113;8;2
PL-2020-1254;2020-07-07;nie;115;7;8
PL-2020-1255;2020-08-07;tak;60;12;21
PL-2020-1256;2020-06-25;tak;60;13;17
PL-2020-1257;2020-08-02;tak;94;7;5
PL-2020-1258;2020-06-06;tak;80;11;15
PL-2020-1259;2020-06-20;nie;105;17;4
PL-2020-1260;2020-07-25;tak;89;4;11
PL-2020-1261;2020-06-19;nie;74;9;5
PL-2020-1262;2020-09-02;tak;110;12;10
PL-2020-1263;2020-08-21;tak;112;17;9
PL-2020-1264;2020-06-17;nie;65;8;15
PL-2020-1265;2020-07-13;nie;97;20;20
PL-2020-1266;2020-07-06;nie;82;7;9
PL-2020-1267;2020-06-23;nie;88;1;16
PL-2020-1268;2020-06-12;tak;115;11;4
PL-2020-1269;2020-07-24;tak;109;17;21
PL-2020-1270;2020-08-25;tak;65;2;2
PL-2020-1271;2020-08-03;nie;84;10;17
PL-2020-1272;2020-06-21;tak;96;18;18
PL-2020-1273;2020-09-06;nie;95;12;9
PL-2020-1274;2020-09-04;nie;69;17;13
PL-2020-1275;2020-07-07;nie;85;20;1
PL-2020-1276;2020-08-31;tak;83;9;8
PL-2020-1277;2020-07-12;nie;113;18;4
PL-2020-1278;2020-08-09;tak;91;10;17
PL-2020-1279;2020-06-14;tak;68;7;18
PL-2020-1280;2020-06-08;nie;76;16;15
PL-2020-1281;2020-06-19;tak;67;16;12
PL-2020-1282;2020-08-16;tak;113;14;16
PL-2020-1283;2020-08-29;nie;97;16;11
PL-2020-1284;2020-06-12;nie;97;20;9
PL-2020-1285;2020-07-22;tak;98;17;11
PL-2020-1286;2020-08-16;tak;77;7;18
PL-2020-1287;2020-08-22;tak;65;20;9
PL-2020-1288;2020-07-21;tak;88;20;4
PL-2020-1289;2020-06-16;nie;61;4;12
PL-2020-1290;2020-07-13;nie;73;19;15
PL-2020-1291;2020-06-14;nie;80;13;13
PL-2020-1292;2020-07-23;nie;102;17;12
PL-2020-1293;2020-07-28;nie;119;4;14
PL-2020-1294;2020-06-09;tak;77;21;14
PL-2020-1295;2020-09-03;tak;98;21;2
PL-2020-1296;2020-08-12;nie;109;5;4
PL-2020-1297;2020-08-06;tak;114;17;8
PL-2020-1298;2020-08-29;nie;78;14;3
PL-2020-1299;2020-06-24;nie;110;21;9
PL-2020-1300;2020-09-02;nie;107;12;7
PL-2020-1301;2020-08-01;nie;88;13;8
PL-2020-1302;2020-06-11;tak;76;22;20
PL-2020-1303;2020-07-03;tak;76;7;17
PL-2020-1304;2020-08-16;nie;113;17;10
PL-2020-1305;2020-08-15;tak;65;16;10
PL-2020-1306;2020-08-10;nie;85;5;19
PL-2020-1307;2020-09-08;tak;113;17;21
PL-2020-1308;2020-06-22;tak;64;21;11
PL-2020-1309;2020-08-09;nie;117;18;3
PL-2020-1310;2020-09-04;tak;62;6;12
PL-2020-1311;2020-07-10;nie;89;7;20
PL-2020-1312;2020-09-06;nie;99;9;22
PL-2020-1313;2020-08-28;tak;69;18;17
PL-2020-1314;2020-07-11;nie;110;8;4
PL-2020-1315;2020-07-28;tak;71;20;5
PL-2020-1316;2020-08-20;nie;104;12;4
PL-2020-1317;2020-07-25;tak;72;15;7
PL-2020-1318;2020-08-31;tak;100;8;18
PL-2020-1319;2020-08-21;tak;85;7;4
PL-2020-1320;2020-06-29;tak;114;18;12
PL-2020-1321;2020-06-05;nie;113;10;12
PL-2020-1322;2020-06-07;nie;105;21;18
PL-2020-1323;2020-08-24;tak;99;6;4
PL-2020-1324;2020-07-11;nie;108;19;3
PL-2020-1325;2020-08-04;nie;79;19;21
PL-2020-1326;2020-08-12;nie;115;13;20
PL-2020-1327;2020-06-05;nie;86;5;12
PL-2020-1328;2020-07-16;nie;97;18;17
PL-2020-1329;2020-07-03;nie;88;4;17
PL-2020-1330;2020-08-15;tak;77;21;15
PL-2020-1331;2020-07-24;tak;90;15;12
PL-2020-1332;2020-08-09;nie;87;5;5
PL-2020-1333;2020-06-13;tak;87;13;6
PL-2020-1334;2020-09-04;nie;99;10;18
PL-2020-1335;2020-08-05;nie;95;4;8
PL-2020-1336;2020-07-05;tak;105;10;4
PL-2020-1337;2020-06-02;tak;108;2;12
PL-2020-1338;2020-06-13;nie;83;6;7
PL-2020-1339;2020-07-28;tak;82;4;11
PL-2020-1340;2020-08-05;tak;86;9;22
PL-2020-1341;2020-08-13;tak;91;20;11
PL-2020-1342;2020-08-17;nie;72;9;8
PL-2020-1343;2020-09-05;tak;68;20;6
PL-2020-1344;2020-06-09;tak;99;10;12
PL-2020-1345;2020-08-02;nie;78;7;17
PL-2020-1346;2020-07-18;tak;116;14;7
PL-2020-1347;2020-06-01;tak;95;20;13
PL-2020-1348;2020-07-12;nie;73;12;10
PL-2020-1349;2020-06-10;nie;119;16;16
PL-2020-1350;2020-08-28;nie;61;11;13
PL-2020-1351;2020-06-28;tak;109;5;3
PL-2020-1352;2020-08-11;nie;89;16;17
PL-2020-1353;2020-08-04;tak;80;6;16
PL-2020-1354;2020-06-25;nie;91;16;14
PL-2020-1355;2020-08-25;nie;71;12;18
PL-2020-1356;2020-07-19;nie;108;9;8
PL-2020-1357;2020-06-19;nie;70;2;9
PL-2020-1358;2020-08-04;nie;99;13;11
PL-2020-1359;2020-08-25;nie;92;6;4
PL-2020-1360;2020-08-01;tak;114;7;1
PL-2020-1361;2020-08-04;tak;119;3;18
PL-2020-1362;2020-07-09;nie;91;12;15
PL-2020-1363;2020-06-17;nie;94;10;20
PL-2020-1364;2020-07-11;nie;117;11;11
PL-2020-1365;2020-06-13;nie;86;3;19
PL-2020-1366;2020-09-01;tak;60;21;15
PL-2020-1367;2020-08-09;tak;65;7;18
PL-2020-1368;2020-08-08;tak;77;5;11
PL-2020-1369;2020-07-31;tak;103;9;13
PL-2020-1370;2020-06-20;nie;71;11;19
PL-2020-1371;2020-06-07;nie;85;6;14
PL-2020-1372;2020-07-24;nie;101;18;12
PL-2020-1373;2020-07-04;nie;72;1;2
PL-2020-1374;2020-07-21;nie;84;19;18
PL-2020-1375;2020-08-03;nie;99;20;12
PL-2020-1376;2020-06-06;nie;102;4;9
PL-2020-1377;2020-06-15;tak;116;21;15
PL-2020-1378;2020-09-08;nie;95;9;9
PL-2020-1379;2020-09-05;tak;107;4;15
PL-2020-1380;2020-06-10;tak;70;8;18
PL-2020-1381;2020-06-30;tak;89;3;3
PL-2020-1382;2020-06-01;tak;79;5;7
PL-2020-1383;2020-06-12;tak;68;16;20
PL-2020-1384;2020-06-04;tak;63;8;11
PL-2020-1385;2020-08-11;tak;78;15;7
PL-2020-1386;2020-06-14;nie;119;10;11
PL-2020-1387;2020-09-02;tak;69;14;7
PL-2020-1388;2020-08-07;tak;80;20;7
PL-2020-1389;2020-07-20;tak;78;18;1
PL-2020-1390;2020-08-07;nie;66;13;2
PL-2020-1391;2020-08-05;tak;106;21;11
PL-2020-1392;2020-06-08;tak;101;9;11
PL-2020-1393;2020-08-12;nie;105;4;9
PL-2020-1394;2020-06-15;tak;115;1;2
PL-2020-1395;2020-07-14;nie;82;7;4
PL-2020-1396;2020-07-17;nie;87;15;15
PL-2020-1397;2020-07-27;nie;88;17;4
PL-2020-1398;2020-07-08;tak;98;11;13
PL-2020-1399;2020-06-09;tak;76;5;7
PL-2020-1400;2020-08-25;tak;60;7;13
PL-2020-1401;2020-06-29;tak;76;15;13
PL-2020-1402;2020-08-18;tak;75;11;4
PL-2020-1403;2020-08-12;tak;66;17;20
PL-2020-1404;2020-07-29;tak;90;19;13
PL-2020-1405;2020-08-26;tak;110;2;6
PL-2020-1406;2020-07-25;nie;76;20;21
PL-2020-1407;2020-06-07;nie;94;21;10
PL-2020-1408;2020-07-21;tak;118;19;3
PL-2020-1409;2020-07-26;tak;67;14;10
PL-2020-1410;2020-07-11;nie;63;13;21
PL-2020-1411;2020-07-03;nie;79;15;9
PL-2020-1412;2020-09-06;tak;61;7;9
PL-2020-1413;2020-09-03;nie;84;16;18
PL-2020-1414;2020-07-26;nie;90;18;13
PL-2020-1415;2020-06-07;tak;111;10;10
PL-2020-1416;2020-08-13;nie;61;2;11
PL-2020-1417;2020-09-02;nie;104;20;6
PL-2020-1418;2020-06-30;tak;91;2;7
PL-2020-1419;2020-07-01;tak;91;19;22
PL-2020-1420;2020-06-03;tak;96;16;14
PL-2020-1421;2020-07-15;nie;75;15;12
PL-2020-1422;2020-07-16;nie;63;13;6
PL-2020-1423;2020-08-08;nie;74;7;19
PL-2020-1424;2020-06-04;tak;62;1;12
PL-2020-1425;2020-07-16;nie;98;14;3
PL-2020-1426;2020-07-27;nie;117;14;2
PL-2020-1427;2020-09-09;tak;104;22;20
PL-2020-1428;2020-06-04;tak;81;20;7
PL-2020-1429;2020-08-07;tak;105;9;12
PL-2020-1430;2020-06-20;nie;83;4;21
PL-2020-1431;2020-09-07;tak;102;6;2
PL-2020-1432;2020-07-04;nie;106;6;5
PL-2020-1433;2020-08-04;nie;83;16;17
PL-2020-1434;2020-08-01;nie;73;2;18
PL-2020-1435;2020-08-17;nie;62;18;20
PL-2020-1436;2020-08-29;tak;88;8;14
PL-2020-1437;2020-09-06;nie;61;8;11
PL-2020-1438;2020-07-07;tak;89;12;8
PL-2020-1439;2020-06-16;nie;101;2;16
PL-2020-1440;2020-06-13;nie;90;20;1
PL-2020-1441;2020-08-18;nie;72;22;6
PL-2020-1442;2020-07-22;nie;104;21;12
PL-2020-1443;2020-08-09;tak;75;7;10
PL-2020-1444;2020-07-03;nie;60;6;15
PL-2020-1445;2020-07-18;nie;91;20;20
PL-2020-1446;2020-08-15;tak;93;2;1
PL-2020-1447;2020-06-27;nie;100;22;9
PL-2020-1448;2020-07-08;nie;94;18;13
PL-2020-1449;2020-06-28;nie;81;18;21
PL-2020-1450;2020-08-27;nie;104;16;16
PL-2020-1451;2020-06-07;tak;115;12;19
PL-2020-1452;2020-08-26;nie;96;6;12
PL-2020-1453;2020-06-11;nie;75;20;17
PL-2020-1454;2020-06-23;tak;103;14;13
PL-2020-1455;2020-08-25;tak;70;6;7
PL-2020-1456;2020-08-21;nie;69;19;9
PL-2020-1457;2020-07-26;nie;110;20;6
PL-2020-1458;2020-06-08;tak;119;20;13
PL-2020-1459;2020-08-16;tak;94;2;3
PL-2020-1460;2020-08-22;nie;74;3;8
PL-2020-1461;2020-07-07;nie;96;11;21
PL-2020-1462;2020-08-28;nie;113;12;6
PL-2020-1463;2020-06-14;nie;91;16;4
PL-2020-1464;2020-09-07;nie;81;2;4
PL-2020-1465;2020-06-17;nie;65;15;16
PL-2020-1466;2020-06-06;nie;75;15;16
PL-2020-1467;2020-06-28;tak;86;4;17
PL-2020-1468;2020-06-21;tak;75;1;21
PL-2020-1469;2020-06-06;nie;88;13;13
PL-2020-1470;2020-07-20;tak;93;9;8
PL-2020-1471;2020-06-09;nie;84;2;9
PL-2020-1472;2020-08-17;tak;82;6;12
PL-2020-1473;2020-06-15;tak;74;6;2
PL-2020-1474;2020-07-08;tak;74;3;20
PL-2020-1475;2020-07-06;tak;76;20;15
PL-2020-1476;2020-06-23;nie;69;14;5
PL-2020-1477;2020-08-14;nie;102;1;3
PL-2020-1478;2020-06-10;nie;66;16;16
PL-2020-1479;2020-07-18;nie;100;15;8
PL-2020-1480;2020-07-15;nie;115;21;11
PL-2020-1481;2020-07-04;nie;79;9;10
PL-2020-1482;2020-07-24;nie;118;21;11
PL-2020-1483;2020-06-04;nie;97;11;3
PL-2020-1484;2020-07-28;tak;72;4;6
PL-2020-1485;2020-08-06;tak;93;3;20
PL-2020-1486;2020-08-27;tak;90;14;12
PL-2020-1487;2020-08-18;nie;81;22;6
PL-2020-1488;2020-06-12;tak;87;9;16
PL-2020-1489;2020-07-08;tak;61;1;22
PL-2020-1490;2020-08-03;nie;100;19;13
PL-2020-1491;2020-08-21;tak;93;11;9
PL-2020-1492;2020-08-11;tak;60;10;21
PL-2020-1493;2020-07-01;tak;80;2;11
PL-2020-1494;2020-07-09;nie;101;7;20
PL-2020-1495;2020-08-02;tak;87;16;19
PL-2020-1496;2020-08-14;tak;116;8;12
PL-2020-1497;2020-06-06;nie;90;8;17
PL-2020-1498;2020-08-01;nie;107;21;8
PL-2020-1499;2020-08-06;nie;86;6;3
PL-2020-1500;2020-07-31;tak;78;10;13
