data;nr rejestr;paliwo;ilosc;cena_l
14.04.2022;CB6037;benzyna;58,63;8,12
14.04.2022;CB7157;benzyna;54,32;8,12
14.04.2022;CB2855;diesel;57,83;8,32
25.04.2022;CB7608;diesel;46,93;8,32
25.04.2022;CB8329;benzyna;41,29;8,12
25.04.2022;CB2781;diesel;46,32;8,32
25.04.2022;CB5709;diesel;58,21;8,32
25.04.2022;CB4672;diesel;57,46;8,32
25.04.2022;CB5787;diesel;44,9;8,32
26.04.2022;CB3997;benzyna;42,63;8,12
26.04.2022;CB5973;benzyna;42,45;8,12
26.04.2022;CB2855;diesel;43,3;8,32
26.04.2022;CB2338;diesel;40,87;8,32
26.04.2022;CB3485;benzyna;44,22;8,12
26.04.2022;CB5654;benzyna;46,92;8,12
27.04.2022;CB4007;diesel;59,19;8,32
27.04.2022;CB4926;diesel;51,75;8,32
27.04.2022;CB9080;diesel;57,92;8,32
27.04.2022;CB1029;diesel;45,76;8,32
27.04.2022;CB4571;diesel;40,08;8,32
27.04.2022;CB6037;benzyna;55,93;8,12
27.04.2022;CB7157;benzyna;60,66;8,12
27.04.2022;CB6759;diesel;56,43;8,32
04.05.2022;CB2855;diesel;45,76;8,32
04.05.2022;CB2338;diesel;56,95;8,32
04.05.2022;CB3485;benzyna;53,5;8,12
04.05.2022;CB5654;benzyna;52,07;8,12
04.05.2022;CB4007;diesel;44,41;8,32
05.05.2022;CB4926;diesel;41,59;8,32
05.05.2022;CB9080;diesel;46,57;8,32
05.05.2022;CB1029;diesel;60,19;8,32
05.05.2022;CB4571;diesel;47,29;8,32
05.05.2022;CB6037;benzyna;42,13;8,22
05.05.2022;CB7157;benzyna;50,73;8,22
05.05.2022;CB6759;diesel;41,19;8,32
05.05.2022;CB7608;diesel;53,94;8,32
06.05.2022;CB8329;benzyna;50,23;8,22
06.05.2022;CB2781;diesel;40,47;8,32
06.05.2022;CB5709;diesel;47,07;8,32
06.05.2022;CB4672;diesel;52,76;8,32
06.05.2022;CB5787;diesel;57,01;8,32
06.05.2022;CB3997;benzyna;40,09;8,22
06.05.2022;CB5973;benzyna;40,36;8,22
06.05.2022;CB6759;diesel;45,68;8,32
10.05.2022;CB6037;benzyna;58,03;8,22
10.05.2022;CB7157;benzyna;50,27;8,22
10.05.2022;CB2855;diesel;52,78;8,32
10.05.2022;CB2338;diesel;53,82;8,32
11.05.2022;CB7608;diesel;52,08;8,12
11.05.2022;CB5709;diesel;43,9;8,12
11.05.2022;CB4007;diesel;49,96;8,12
11.05.2022;CB4926;diesel;51,32;8,12
14.05.2022;CB7608;diesel;57,63;8,12
14.05.2022;CB5709;diesel;51,56;8,12
14.05.2022;CB6037;benzyna;50,14;8,32
15.05.2022;CB7157;benzyna;46,02;8,32
15.05.2022;CB2855;diesel;60,96;8,12
15.05.2022;CB2338;diesel;54,65;8,12
15.05.2022;CB4007;diesel;59,42;8,12
15.05.2022;CB4926;diesel;54,46;8,12
23.05.2022;CB7608;diesel;54,05;8,22
23.05.2022;CB8329;benzyna;47,68;8,32
23.05.2022;CB2781;diesel;60,49;8,22
23.05.2022;CB5709;diesel;45,74;8,22
23.05.2022;CB4672;diesel;42,42;8,22
23.05.2022;CB5787;diesel;47,4;8,22
24.05.2022;CB3997;benzyna;51,63;8,32
24.05.2022;CB5973;benzyna;52,45;8,32
24.05.2022;CB2855;diesel;57,74;8,22
25.05.2022;CB2338;diesel;55,58;8,22
25.05.2022;CB3485;benzyna;53,82;8,32
25.05.2022;CB5654;benzyna;55,87;8,32
25.05.2022;CB4007;diesel;48,74;8,22
25.05.2022;CB4926;diesel;52,13;8,22
25.05.2022;CB9080;diesel;51,65;8,22
25.05.2022;CB1029;diesel;59,18;8,22
26.05.2022;CB4571;diesel;45,24;8,22
26.05.2022;CB6037;benzyna;48,28;8,32
26.05.2022;CB7157;benzyna;58,81;8,32
26.05.2022;CB6759;diesel;58,98;8,22
04.06.2022;CB7608;diesel;42,96;8,22
04.06.2022;CB8329;benzyna;43,67;8,32
04.06.2022;CB2781;diesel;45,61;8,22
04.06.2022;CB5709;diesel;55,42;8,22
04.06.2022;CB4672;diesel;60,85;8,22
04.06.2022;CB5787;diesel;47,01;8,22
04.06.2022;CB3997;benzyna;54,95;8,32
05.06.2022;CB5973;benzyna;43,35;8,32
06.06.2022;CB2855;diesel;41,48;8,22
06.06.2022;CB2338;diesel;50,58;8,22
06.06.2022;CB3485;benzyna;52,56;8,32
06.06.2022;CB5654;benzyna;43,49;8,32
06.06.2022;CB4007;diesel;45,3;8,22
06.06.2022;CB4926;diesel;55,87;8,22
06.06.2022;CB9080;diesel;55,23;8,22
06.06.2022;CB1029;diesel;42,32;8,22
07.06.2022;CB4571;diesel;47,37;8,22
07.06.2022;CB6037;benzyna;55,31;8,32
07.06.2022;CB7157;benzyna;48,58;8,32
07.06.2022;CB6759;diesel;52,22;8,22
11.06.2022;CB7608;diesel;44,13;8,22
11.06.2022;CB5709;diesel;47,53;8,22
11.06.2022;CB6037;benzyna;45,63;8,32
11.06.2022;CB7157;benzyna;50,74;8,32
13.06.2022;CB2855;diesel;55,69;8,22
13.06.2022;CB2338;diesel;51,47;8,22
13.06.2022;CB4007;diesel;53,67;8,22
13.06.2022;CB4926;diesel;43,9;8,22
14.06.2022;CB4007;diesel;52,23;8,22
14.06.2022;CB4926;diesel;50,57;8,22
15.06.2022;CB4007;diesel;59,5;8,22
15.06.2022;CB4926;diesel;50,09;8,22
19.06.2022;CB5654;benzyna;48,12;8,32
19.06.2022;CB4007;diesel;52,83;8,22
19.06.2022;CB4926;diesel;44,06;8,22
19.06.2022;CB9080;diesel;45,67;8,22
20.06.2022;CB1029;diesel;58,3;8,22
20.06.2022;CB4571;diesel;55,75;8,22
20.06.2022;CB6037;benzyna;53,59;8,32
20.06.2022;CB7157;benzyna;45,15;8,32
20.06.2022;CB6759;diesel;50,1;8,22
21.06.2022;CB5973;benzyna;51,12;8,32
21.06.2022;CB2855;diesel;40,3;8,22
21.06.2022;CB2338;diesel;50,94;8,22
21.06.2022;CB3485;benzyna;40,5;8,32
21.06.2022;CB5654;benzyna;49,93;8,32
21.06.2022;CB4007;diesel;55,64;8,22
21.06.2022;CB4926;diesel;47,27;8,22
21.06.2022;CB9080;diesel;55,21;8,22
21.06.2022;CB1029;diesel;48,68;8,22
21.06.2022;CB4571;diesel;45,33;8,22
21.06.2022;CB6037;benzyna;41,8;8,32
21.06.2022;CB7157;benzyna;40,27;8,32
21.06.2022;CB6759;diesel;45,55;8,22
