ID_WPISU;DATA;ID_WOJ;ID_ZWIERZ;LICZBA
0447;2020-12-21;w05;z06;1
0101;2020-10-18;w05;z16;4
0010;2020-10-05;w14;z07;12
0380;2020-12-10;w03;z17;1
0228;2020-11-08;w08;z16;6
0288;2020-11-23;w01;z13;3
0238;2020-11-11;w07;z03;3
0065;2020-10-11;w14;z11;86
0510;2021-01-01;w10;z08;2
0166;2020-10-30;w02;z14;6
0296;2020-11-25;w04;z13;3
0123;2020-10-21;w10;z05;33
0104;2020-10-20;w13;z14;28
0321;2020-11-27;w12;z04;2
0145;2020-10-26;w14;z09;45
0087;2020-10-18;w08;z13;1
0278;2020-11-21;w08;z16;2
0365;2020-12-06;w12;z11;73
0202;2020-11-05;w09;z12;20
0311;2020-11-27;w12;z11;81
0211;2020-11-06;w03;z09;36
0208;2020-11-05;w09;z16;4
0197;2020-11-05;w08;z06;1
0029;2020-10-06;w03;z05;36
0045;2020-10-08;w08;z12;35
0060;2020-10-11;w08;z17;4
0381;2020-12-10;w13;z16;1
0496;2020-12-30;w05;z12;32
0292;2020-11-25;w16;z04;2
0240;2020-11-11;w06;z05;27
0176;2020-10-30;w09;z04;3
0248;2020-11-13;w11;z12;25
0298;2020-11-26;w11;z04;1
0254;2020-11-16;w08;z02;44
0132;2020-10-23;w03;z09;60
0074;2020-10-14;w04;z09;55
0283;2020-11-23;w16;z05;40
0404;2020-12-14;w01;z12;16
0073;2020-10-14;w12;z05;45
0080;2020-10-15;w12;z14;12
0051;2020-10-10;w16;z06;1
0359;2020-12-06;w10;z04;3
0120;2020-10-21;w12;z04;2
0179;2020-10-31;w03;z05;39
0199;2020-11-05;w15;z17;1
0119;2020-10-21;w01;z14;16
0195;2020-11-02;w03;z12;18
0487;2020-12-27;w04;z05;42
0138;2020-10-23;w07;z05;38
0237;2020-11-11;w12;z06;1
0151;2020-10-26;w02;z04;1
0055;2020-10-10;w13;z12;22
0201;2020-11-05;w05;z12;29
0460;2020-12-24;w04;z12;28
0416;2020-12-18;w16;z13;3
0222;2020-11-08;w03;z08;2
0317;2020-11-27;w13;z04;3
0102;2020-10-18;w12;z12;25
0108;2020-10-20;w05;z09;36
0009;2020-10-05;w10;z17;5
0327;2020-11-29;w08;z18;38
0022;2020-10-06;w02;z10;1
0200;2020-11-05;w09;z06;1
0291;2020-11-25;w14;z05;28
0372;2020-12-10;w14;z09;55
0204;2020-11-05;w03;z11;91
0293;2020-11-25;w14;z02;64
0349;2020-12-05;w09;z07;17
0234;2020-11-09;w13;z16;6
0183;2020-10-31;w05;z04;3
0399;2020-12-13;w07;z11;82
0247;2020-11-13;w02;z11;84
0015;2020-10-05;w11;z17;5
0273;2020-11-21;w01;z12;25
0316;2020-11-27;w01;z05;41
0071;2020-10-14;w02;z12;15
0177;2020-10-31;w10;z04;2
0148;2020-10-26;w13;z11;76
0319;2020-11-27;w05;z09;51
0285;2020-11-23;w14;z01;75
0333;2020-11-29;w15;z04;2
0326;2020-11-29;w11;z17;3
0482;2020-12-27;w02;z05;40
0313;2020-11-27;w03;z06;1
0331;2020-11-29;w01;z09;48
0474;2020-12-26;w13;z12;16
0117;2020-10-20;w02;z09;49
0490;2020-12-27;w09;z16;6
0511;2021-01-01;w09;z17;1
0030;2020-10-08;w01;z16;3
0268;2020-11-21;w02;z09;48
0494;2020-12-30;w03;z13;3
0008;2020-10-05;w05;z14;30
0499;2020-12-30;w16;z05;38
0142;2020-10-24;w07;z15;22
0270;2020-11-21;w09;z13;2
0370;2020-12-07;w16;z12;24
0264;2020-11-20;w09;z11;76
0364;2020-12-06;w02;z06;1
0280;2020-11-21;w07;z06;1
0185;2020-10-31;w02;z12;29
0409;2020-12-16;w08;z12;32
0267;2020-11-21;w10;z16;4
0295;2020-11-25;w03;z06;1
0091;2020-10-18;w04;z08;2
0227;2020-11-08;w13;z06;1
0353;2020-12-06;w07;z02;69
0363;2020-12-06;w02;z16;1
0362;2020-12-06;w10;z16;4
0461;2020-12-24;w06;z12;23
0415;2020-12-18;w06;z16;5
0437;2020-12-21;w13;z01;56
0392;2020-12-13;w14;z16;1
0479;2020-12-27;w13;z07;12
0081;2020-10-15;w01;z01;80
0137;2020-10-23;w03;z11;83
0113;2020-10-20;w04;z16;2
0343;2020-12-02;w01;z08;2
0513;2021-01-01;w04;z05;49
0058;2020-10-11;w05;z13;2
0048;2020-10-10;w12;z14;28
0361;2020-12-06;w07;z06;1
0112;2020-10-20;w05;z06;1
0279;2020-11-21;w10;z11;98
0470;2020-12-26;w01;z09;59
0146;2020-10-26;w02;z03;1
0306;2020-11-26;w07;z09;53
0438;2020-12-21;w12;z07;10
0358;2020-12-06;w13;z13;1
0459;2020-12-24;w16;z06;1
0396;2020-12-13;w10;z06;1
0426;2020-12-19;w13;z13;3
0330;2020-11-29;w14;z08;2
0336;2020-11-29;w04;z16;6
0212;2020-11-06;w16;z02;55
0492;2020-12-30;w15;z06;1
0153;2020-10-26;w03;z06;1
0253;2020-11-16;w06;z04;1
0342;2020-12-02;w06;z05;37
0500;2020-12-30;w09;z05;34
0249;2020-11-16;w04;z06;1
0450;2020-12-24;w03;z18;21
0385;2020-12-12;w15;z13;2
0504;2021-01-01;w15;z07;19
0196;2020-11-02;w07;z04;1
0109;2020-10-20;w02;z17;4
0012;2020-10-05;w02;z12;32
0323;2020-11-29;w11;z07;18
0424;2020-12-19;w07;z13;3
0217;2020-11-08;w09;z14;9
0088;2020-10-18;w11;z05;43
0190;2020-11-02;w10;z17;2
0310;2020-11-27;w12;z15;24
0059;2020-10-11;w08;z06;1
0110;2020-10-20;w16;z17;2
0159;2020-10-27;w15;z08;1
0189;2020-10-31;w11;z09;44
0483;2020-12-27;w10;z13;2
0383;2020-12-10;w09;z06;1
0475;2020-12-26;w04;z09;51
0261;2020-11-18;w14;z08;2
0397;2020-12-13;w01;z09;57
0251;2020-11-16;w14;z12;34
0001;2020-10-03;w06;z17;5
0410;2020-12-16;w07;z17;4
0242;2020-11-13;w15;z08;2
0471;2020-12-26;w11;z17;2
0486;2020-12-27;w12;z09;45
0175;2020-10-30;w14;z05;28
0004;2020-10-03;w03;z17;1
0126;2020-10-21;w14;z16;3
0239;2020-11-11;w16;z15;21
0489;2020-12-27;w11;z11;88
0434;2020-12-19;w07;z16;1
0290;2020-11-25;w16;z08;1
0171;2020-10-30;w10;z08;3
0308;2020-11-26;w09;z09;57
0481;2020-12-27;w13;z14;20
0037;2020-10-08;w04;z01;66
0339;2020-12-02;w10;z14;8
0322;2020-11-29;w12;z09;36
0334;2020-11-29;w13;z12;27
0312;2020-11-27;w03;z14;12
0258;2020-11-18;w04;z08;3
0207;2020-11-05;w03;z17;2
0369;2020-12-07;w05;z03;2
0033;2020-10-08;w07;z04;3
0430;2020-12-19;w02;z04;2
0464;2020-12-26;w12;z02;40
0024;2020-10-06;w07;z14;17
0274;2020-11-21;w13;z13;3
0136;2020-10-23;w15;z13;3
0309;2020-11-26;w15;z06;1
0026;2020-10-06;w01;z17;2
0337;2020-12-02;w16;z15;24
0485;2020-12-27;w12;z17;4
0294;2020-11-25;w02;z02;46
0092;2020-10-18;w01;z11;88
0032;2020-10-08;w07;z04;1
0390;2020-12-13;w16;z12;16
0299;2020-11-26;w15;z18;39
0070;2020-10-14;w05;z09;45
0225;2020-11-08;w16;z12;16
0069;2020-10-14;w15;z03;1
0329;2020-11-29;w07;z17;3
0013;2020-10-05;w05;z13;3
0403;2020-12-14;w03;z04;3
0210;2020-11-06;w08;z12;35
0472;2020-12-26;w07;z06;1
0100;2020-10-18;w12;z09;42
0084;2020-10-15;w04;z04;2
0387;2020-12-12;w03;z08;2
0220;2020-11-08;w15;z16;2
0155;2020-10-27;w09;z11;100
0089;2020-10-18;w11;z08;2
0315;2020-11-27;w15;z01;77
0016;2020-10-05;w09;z04;2
0028;2020-10-06;w16;z08;2
0324;2020-11-29;w10;z07;15
0436;2020-12-21;w16;z13;3
0218;2020-11-08;w11;z08;2
0379;2020-12-10;w03;z06;1
0272;2020-11-21;w01;z04;3
0099;2020-10-18;w06;z11;89
0231;2020-11-09;w05;z18;22
0377;2020-12-10;w02;z18;35
0269;2020-11-21;w15;z17;4
0178;2020-10-31;w12;z02;61
0118;2020-10-21;w13;z02;61
0124;2020-10-21;w02;z13;2
0184;2020-10-31;w03;z11;89
0085;2020-10-15;w15;z16;3
0407;2020-12-14;w05;z17;4
0158;2020-10-27;w09;z16;3
0325;2020-11-29;w07;z12;20
0221;2020-11-08;w16;z01;57
0006;2020-10-03;w02;z09;48
0277;2020-11-21;w04;z12;26
0473;2020-12-26;w10;z11;93
0405;2020-12-14;w04;z05;26
0021;2020-10-05;w12;z16;4
0314;2020-11-27;w08;z01;69
0224;2020-11-08;w01;z04;3
0451;2020-12-24;w09;z07;19
0250;2020-11-16;w02;z11;79
0401;2020-12-14;w03;z05;36
0162;2020-10-27;w03;z12;27
0345;2020-12-02;w15;z08;2
0154;2020-10-27;w04;z12;20
0182;2020-10-31;w14;z18;25
0286;2020-11-23;w02;z13;3
0161;2020-10-27;w10;z16;6
0194;2020-11-02;w02;z11;84
0072;2020-10-14;w02;z16;3
0346;2020-12-02;w14;z05;40
0043;2020-10-08;w01;z16;5
0384;2020-12-12;w06;z04;3
0400;2020-12-13;w10;z16;1
0423;2020-12-19;w13;z18;21
0281;2020-11-21;w03;z09;51
0125;2020-10-21;w01;z12;20
0462;2020-12-24;w07;z06;1
0320;2020-11-27;w01;z09;50
0389;2020-12-13;w13;z11;86
0307;2020-11-26;w07;z11;83
0259;2020-11-18;w04;z06;1
0213;2020-11-06;w09;z18;38
0366;2020-12-06;w02;z09;44
0265;2020-11-20;w15;z08;2
0463;2020-12-24;w04;z12;31
0152;2020-10-26;w15;z06;1
0356;2020-12-06;w07;z01;75
0134;2020-10-23;w04;z02;63
0173;2020-10-30;w01;z05;33
0455;2020-12-24;w06;z09;43
0441;2020-12-21;w09;z16;6
0303;2020-11-26;w02;z17;2
0388;2020-12-13;w09;z12;22
0049;2020-10-10;w12;z18;24
0103;2020-10-20;w13;z04;1
0335;2020-11-29;w09;z12;34
0413;2020-12-18;w12;z09;57
0235;2020-11-09;w12;z05;34
0453;2020-12-24;w16;z07;10
0007;2020-10-03;w11;z06;1
0027;2020-10-06;w12;z08;1
0442;2020-12-21;w09;z17;5
0057;2020-10-10;w01;z16;5
0066;2020-10-11;w06;z09;59
0005;2020-10-03;w10;z16;3
0432;2020-12-19;w07;z09;60
0002;2020-10-03;w14;z14;8
0488;2020-12-27;w16;z04;3
0244;2020-11-13;w05;z01;67
0061;2020-10-11;w15;z07;7
0116;2020-10-20;w03;z06;1
0128;2020-10-21;w09;z17;3
0096;2020-10-18;w07;z08;3
0497;2020-12-30;w16;z11;93
0351;2020-12-05;w06;z16;6
0083;2020-10-15;w14;z11;84
0418;2020-12-18;w04;z16;2
0205;2020-11-05;w11;z12;19
0140;2020-10-23;w10;z06;1
0086;2020-10-15;w01;z09;38
0180;2020-10-31;w04;z14;9
0095;2020-10-18;w01;z09;53
0206;2020-11-05;w09;z08;1
0139;2020-10-23;w02;z11;75
0097;2020-10-18;w06;z11;79
0394;2020-12-13;w13;z05;42
0170;2020-10-30;w14;z17;4
0174;2020-10-30;w16;z08;2
0003;2020-10-03;w01;z08;2
0439;2020-12-21;w09;z18;40
0477;2020-12-26;w16;z12;17
0214;2020-11-08;w16;z07;10
0243;2020-11-13;w10;z02;55
0135;2020-10-23;w04;z05;45
0186;2020-10-31;w05;z12;28
0289;2020-11-23;w01;z06;1
0129;2020-10-21;w09;z11;78
0255;2020-11-18;w04;z18;28
0019;2020-10-05;w07;z09;57
0398;2020-12-13;w07;z09;35
0376;2020-12-10;w01;z01;59
0491;2020-12-30;w03;z08;1
0275;2020-11-21;w04;z16;3
0378;2020-12-10;w03;z12;19
0018;2020-10-05;w13;z11;89
0223;2020-11-08;w02;z04;3
0163;2020-10-27;w13;z11;85
0427;2020-12-19;w05;z04;2
0053;2020-10-10;w14;z11;80
0411;2020-12-16;w01;z08;1
0106;2020-10-20;w01;z08;3
0131;2020-10-21;w13;z09;51
0078;2020-10-15;w04;z05;36
0093;2020-10-18;w01;z12;23
0062;2020-10-11;w14;z17;3
0348;2020-12-02;w09;z05;41
0263;2020-11-20;w07;z13;2
0367;2020-12-06;w11;z12;18
0503;2021-01-01;w07;z16;6
0375;2020-12-10;w10;z18;38
0107;2020-10-20;w12;z04;3
0257;2020-11-18;w14;z05;33
0209;2020-11-06;w08;z17;5
0371;2020-12-07;w12;z04;3
0232;2020-11-09;w10;z16;5
0338;2020-12-02;w04;z16;4
0098;2020-10-18;w05;z06;1
0355;2020-12-06;w03;z11;88
0515;2021-01-01;w02;z16;3
0406;2020-12-14;w03;z18;27
0020;2020-10-05;w04;z16;3
0031;2020-10-08;w12;z05;32
0262;2020-11-20;w09;z17;5
0156;2020-10-27;w15;z09;55
0505;2021-01-01;w15;z16;5
0433;2020-12-19;w01;z12;25
0297;2020-11-25;w14;z13;3
0476;2020-12-26;w15;z04;3
0025;2020-10-06;w16;z09;55
0393;2020-12-13;w11;z18;35
0368;2020-12-07;w16;z02;45
0064;2020-10-11;w02;z08;3
0040;2020-10-08;w16;z05;40
0457;2020-12-24;w10;z06;1
0150;2020-10-26;w03;z04;1
0373;2020-12-10;w05;z05;39
0036;2020-10-08;w16;z16;1
0360;2020-12-06;w07;z06;1
0354;2020-12-06;w08;z18;23
0445;2020-12-21;w08;z11;91
0245;2020-11-13;w05;z12;33
0480;2020-12-27;w08;z01;67
0229;2020-11-08;w06;z12;31
0011;2020-10-05;w14;z07;14
0428;2020-12-19;w11;z17;1
0149;2020-10-26;w09;z08;2
0147;2020-10-26;w12;z16;1
0508;2021-01-01;w16;z17;2
0449;2020-12-21;w14;z09;58
0420;2020-12-19;w13;z15;10
0484;2020-12-27;w05;z11;72
0352;2020-12-05;w11;z04;1
0271;2020-11-21;w03;z17;1
0164;2020-10-27;w16;z04;3
0236;2020-11-09;w05;z13;3
0090;2020-10-18;w06;z01;76
0276;2020-11-21;w07;z17;5
0429;2020-12-19;w15;z16;4
0115;2020-10-20;w14;z11;77
0191;2020-11-02;w15;z05;37
0216;2020-11-08;w07;z17;4
0094;2020-10-18;w09;z17;4
0052;2020-10-10;w13;z01;54
0305;2020-11-26;w11;z04;1
0230;2020-11-09;w07;z16;1
0039;2020-10-08;w02;z09;53
0226;2020-11-08;w08;z11;89
0454;2020-12-24;w06;z08;1
0446;2020-12-21;w02;z17;4
0332;2020-11-29;w04;z17;3
0014;2020-10-05;w15;z05;27
0198;2020-11-05;w02;z13;1
0452;2020-12-24;w16;z14;14
0347;2020-12-02;w01;z04;2
0431;2020-12-19;w12;z09;38
0122;2020-10-21;w10;z06;1
0414;2020-12-18;w08;z05;33
0344;2020-12-02;w11;z13;3
0419;2020-12-18;w12;z08;1
0046;2020-10-10;w15;z01;57
0512;2021-01-01;w16;z05;34
0300;2020-11-26;w01;z05;35
0260;2020-11-18;w04;z11;99
0502;2021-01-01;w06;z18;30
0035;2020-10-08;w16;z08;2
0421;2020-12-19;w15;z16;4
0382;2020-12-10;w07;z11;73
0241;2020-11-13;w10;z09;55
0341;2020-12-02;w02;z18;34
0160;2020-10-27;w16;z06;1
0252;2020-11-16;w04;z09;55
0395;2020-12-13;w16;z16;4
0034;2020-10-08;w04;z04;1
0141;2020-10-24;w10;z09;45
0246;2020-11-13;w06;z05;42
0076;2020-10-14;w09;z09;35
0467;2020-12-26;w03;z17;1
0193;2020-11-02;w03;z09;53
0077;2020-10-14;w02;z12;30
0478;2020-12-26;w09;z09;51
0507;2021-01-01;w13;z18;23
0509;2021-01-01;w15;z16;6
0203;2020-11-05;w01;z13;3
0458;2020-12-24;w01;z05;36
0402;2020-12-14;w13;z08;3
0514;2021-01-01;w07;z11;94
0302;2020-11-26;w07;z02;31
0114;2020-10-20;w10;z06;1
0357;2020-12-06;w07;z01;78
0501;2020-12-30;w16;z17;1
0192;2020-11-02;w06;z18;28
0233;2020-11-09;w03;z14;13
0023;2020-10-06;w15;z11;83
0408;2020-12-16;w15;z08;2
0468;2020-12-26;w05;z17;3
0187;2020-10-31;w10;z05;49
