Data;Œrednia temperatura;Opady w mm
18.06.2020;16,2;2
19.06.2020;12,5;1,6
20.06.2020;16,2;18,3
21.06.2020;17;1,4
22.06.2020;15,8;0,5
23.06.2020;15;3,6
24.06.2020;15,6;1,3
25.06.2020;17,3;9,5
26.06.2020;17,3;4
27.06.2020;15,3;1
28.06.2020;16,9;1,6
29.06.2020;15,5;1
30.06.2020;16,9;0
01.07.2020;14,2;1
02.07.2020;15,6;2,5
03.07.2020;14,6;17,7
04.07.2020;14,2;2,4
05.07.2020;15,1;0,1
06.07.2020;15,4;0,3
07.07.2020;15,1;1
08.07.2020;16,7;2,9
09.07.2020;16,9;1,6
10.07.2020;17,6;1,4
11.07.2020;19,3;0
12.07.2020;17,4;0,3
13.07.2020;16,1;0,8
14.07.2020;15;3,6
15.07.2020;15,6;1,3
16.07.2020;17,3;9,5
17.07.2020;17,3;4
18.07.2020;15,3;1
19.07.2020;16,9;1,6
20.07.2020;18,1;6,7
21.07.2020;15,7;7,6
22.07.2020;17,8;0,4
23.07.2020;16,4;6
24.07.2020;17,1;1,5
25.07.2020;19;9,5
26.07.2020;18,6;1,4
27.07.2020;16,6;2,5
28.07.2020;16,1;13,2
29.07.2020;15,6;2,9
30.07.2020;17,1;0,9
31.07.2020;16,1;5
01.08.2020;14,4;2,3
02.08.2020;14,5;4,5
03.08.2020;14,5;5,4
04.08.2020;16,5;5,9
05.08.2020;18,9;1,8
06.08.2020;18,4;5,4
07.08.2020;18,3;0,7
08.08.2020;19,5;0,1
09.08.2020;19,2;0
10.08.2020;19,5;1,4
11.08.2020;19,3;60,7
12.08.2020;19,6;0,7
13.08.2020;18,7;0,2
14.08.2020;18,6;2,2
15.08.2020;18,1;0
16.08.2020;19;0,6
17.08.2020;17,3;2,8
18.08.2020;15;0
19.08.2020;17,7;0
20.08.2020;20,4;0
21.08.2020;21,4;0
22.08.2020;16,9;0
23.08.2020;16,7;0
24.08.2020;15,6;4,1
25.08.2020;16,9;0,3
26.08.2020;15,5;2,5
27.08.2020;16,4;0,8
28.08.2020;15,4;3,8
29.08.2020;16,5;1,8
30.08.2020;16,5;0
31.08.2020;18,5;0,6
01.09.2020;16,9;2,1
02.09.2020;16,7;0
03.09.2020;16,7;0,6
04.09.2020;14,8;0,1
05.09.2020;14,2;0,1
06.09.2020;16,3;0,3
07.09.2020;13,4;1,9
08.09.2020;12,7;2,1
09.09.2020;13,8;11,6
10.09.2020;11,4;0
11.09.2020;14,2;0,8
12.09.2020;12,9;1,6
13.09.2020;15,5;0
14.09.2020;15,8;0
15.09.2020;11,9;0
16.09.2020;11,3;37,4
17.09.2020;11,6;1,9
18.09.2020;13,7;0
19.09.2020;11,9;0,3
20.09.2020;10,4;4,5
21.09.2020;9,6;1,5
22.09.2020;11,1;0,3
23.09.2020;11,6;0,2
24.09.2020;11,4;0
25.09.2020;10,1;1
26.09.2020;15,5;0
27.09.2020;15,8;0
28.09.2020;11,9;0
29.09.2020;11,3;37,4
30.09.2020;11,6;1,9
01.10.2020;13,7;0
02.10.2020;11,9;0,3
03.10.2020;10,4;4,5
04.10.2020;9,6;1,5
05.10.2020;13,7;0
06.10.2020;11,9;0,3
07.10.2020;10,4;4,5
08.10.2020;9,6;1,5
09.10.2020;9,4;1,3
10.10.2020;8,3;8,3
11.10.2020;8,6;1,4
12.10.2020;7,3;1,9
13.10.2020;6,8;8,1
14.10.2020;6,9;5
15.10.2020;4,5;2,8
16.10.2020;5,7;2,1
17.10.2020;4,9;2,5
18.10.2020;7,2;12,2
19.10.2020;8,3;8,3
20.10.2020;8,6;1,4
21.10.2020;7,3;1,9
22.10.2020;6,8;8,1
23.10.2020;6,9;5
24.10.2020;4,5;2,8
25.10.2020;5,7;2,1
26.10.2020;4,9;2,5
27.10.2020;8,7;0,5
28.10.2020;6,9;5,7
29.10.2020;6,4;6,2
30.10.2020;4,9;4,1
31.10.2020;8,6;1,4
01.11.2020;7,3;1,9
02.11.2020;6,8;8,1
03.11.2020;6,9;5
04.11.2020;4,5;2,8
05.11.2020;5,7;2,1
06.11.2020;4,9;2,5
07.11.2020;7,2;12,2
08.11.2020;8,3;8,3
09.11.2020;8,6;1,4
10.11.2020;7,3;1,9
11.11.2020;8,7;0,5
12.11.2020;6,9;5,7
13.11.2020;6,4;6,2
14.11.2020;4,9;4,1
15.11.2020;7,2;12,2
16.11.2020;8,3;8,3
17.11.2020;6,8;8,1
18.11.2020;8,7;0,5
19.11.2020;6,9;5,7
20.11.2020;6,4;6,2
21.11.2020;4,9;4,1
22.11.2020;7,2;12,2
23.11.2020;8,3;8,3
24.11.2020;8,6;1,4
25.11.2020;7,3;1,9
26.11.2020;6,8;8,1
27.11.2020;6,9;5
28.11.2020;4,5;2,8
29.11.2020;5,7;2,1
30.11.2020;4,9;2,5
01.12.2020;3,2;0,1
02.12.2020;4,9;2,9
03.12.2020;1,9;3,1
04.12.2020;2;1,3
05.12.2020;1,7;0,7
06.12.2020;3,9;0,7
07.12.2020;3,2;0,5
08.12.2020;3,3;2
09.12.2020;3;1,7
10.12.2020;2,7;1,7
11.12.2020;2,7;2,3
12.12.2020;2,7;1,4
13.12.2020;3,8;10,5
14.12.2020;3;0
15.12.2020;5,4;0,7
16.12.2020;2,3;0,1
17.12.2020;2,3;0,2
18.12.2020;4,5;2,9
19.12.2020;1,9;0,4
20.12.2020;4,2;0,1
21.12.2020;1,5;0
22.12.2020;2,1;1,4
23.12.2020;0,2;1,1
24.12.2020;0,3;4,3
25.12.2020;-4,2;1,4
26.12.2020;3,1;1,1
27.12.2020;-1,1;0
28.12.2020;0,6;1
29.12.2020;2,6;3,8
30.12.2020;0,2;1,1
31.12.2020;0,3;4,3
