Dzien	Samochod	Czas	Trasa
10.01.2022	MSO231	173	58
10.01.2022	MSO121	130	46
10.01.2022	MSO023	185	150
10.01.2022	MSO121	177	143
11.01.2022	MSO023	149	71
11.01.2022	MSO023	187	105
11.01.2022	MSO671	118	51
11.01.2022	MSO671	107	38
11.01.2022	MSO255	176	134
11.01.2022	MSO671	41	21
11.01.2022	MSO023	15	5
11.01.2022	MSO121	47	24
11.01.2022	MSO671	50	25
11.01.2022	MSO671	167	64
11.01.2022	MSO023	34	17
11.01.2022	MSO255	93	31
11.01.2022	MSO671	191	101
11.01.2022	MSO023	123	52
11.01.2022	MSO121	130	59
11.01.2022	MSO671	148	116
11.01.2022	MSO023	194	65
11.01.2022	MSO671	99	50
12.01.2022	MSO671	101	37
12.01.2022	MSO231	90	23
12.01.2022	MSO121	21	7
12.01.2022	MSO255	34	11
12.01.2022	MSO671	114	47
12.01.2022	MSO671	24	12
13.01.2022	MSO231	62	21
13.01.2022	MSO231	103	35
13.01.2022	MSO121	93	31
13.01.2022	MSO023	108	45
13.01.2022	MSO671	178	117
13.01.2022	MSO671	149	84
13.01.2022	MSO231	65	22
14.01.2022	MSO671	64	32
14.01.2022	MSO231	167	57
14.01.2022	MSO671	64	16
14.01.2022	MSO023	196	108
14.01.2022	MSO255	13	4
14.01.2022	MSO671	160	73
14.01.2022	MSO121	60	15
14.01.2022	MSO671	92	23
14.01.2022	MSO231	51	17
14.01.2022	MSO023	60	15
14.01.2022	MSO255	145	83
14.01.2022	MSO121	85	28
14.01.2022	MSO121	69	23
14.01.2022	MSO023	6	1
14.01.2022	MSO255	116	81
15.01.2022	MSO231	57	29
15.01.2022	MSO023	78	39
15.01.2022	MSO023	120	89
15.01.2022	MSO023	74	37
16.01.2022	MSO231	15	4
16.01.2022	MSO671	196	91
16.01.2022	MSO023	96	32
16.01.2022	MSO671	58	15
16.01.2022	MSO231	191	81
16.01.2022	MSO231	148	50
16.01.2022	MSO023	39	20
16.01.2022	MSO023	37	9
17.01.2022	MSO023	107	59
17.01.2022	MSO671	126	46
17.01.2022	MSO671	90	30
17.01.2022	MSO671	107	56
17.01.2022	MSO023	189	121
17.01.2022	MSO671	185	80
17.01.2022	MSO671	112	43
17.01.2022	MSO255	69	23
17.01.2022	MSO671	42	14
17.01.2022	MSO671	113	66
17.01.2022	MSO023	39	10
18.01.2022	MSO121	28	14
18.01.2022	MSO023	115	87
18.01.2022	MSO023	11	3
18.01.2022	MSO671	81	20
18.01.2022	MSO671	110	60
18.01.2022	MSO671	26	7
18.01.2022	MSO255	31	16
19.01.2022	MSO231	28	7
19.01.2022	MSO671	148	53
19.01.2022	MSO023	161	64
19.01.2022	MSO255	193	108
19.01.2022	MSO671	18	9
19.01.2022	MSO023	58	15
19.01.2022	MSO255	69	35
19.01.2022	MSO023	8	4
19.01.2022	MSO671	140	65
19.01.2022	MSO023	140	77
20.01.2022	MSO671	43	11
20.01.2022	MSO671	119	48
20.01.2022	MSO121	64	32
20.01.2022	MSO023	78	26
20.01.2022	MSO023	34	17
20.01.2022	MSO671	186	112
20.01.2022	MSO231	77	26
20.01.2022	MSO671	164	67
20.01.2022	MSO023	112	60
20.01.2022	MSO121	135	75
20.01.2022	MSO023	170	87
20.01.2022	MSO121	197	83
20.01.2022	MSO671	156	63
20.01.2022	MSO231	143	80
20.01.2022	MSO231	162	87
20.01.2022	MSO231	11	4
20.01.2022	MSO671	70	23
20.01.2022	MSO671	169	108
20.01.2022	MSO231	16	5
20.01.2022	MSO671	115	41
21.01.2022	MSO023	68	17
21.01.2022	MSO231	185	161
21.01.2022	MSO231	186	73
21.01.2022	MSO023	158	146
21.01.2022	MSO255	27	7
21.01.2022	MSO231	45	11
21.01.2022	MSO121	182	142
21.01.2022	MSO671	27	7
21.01.2022	MSO231	37	19
21.01.2022	MSO671	34	9
21.01.2022	MSO231	36	9
22.01.2022	MSO231	128	105
22.01.2022	MSO121	121	41
22.01.2022	MSO121	95	48
22.01.2022	MSO023	171	95
22.01.2022	MSO023	28	9
22.01.2022	MSO231	163	81
22.01.2022	MSO231	183	67
22.01.2022	MSO231	157	57
22.01.2022	MSO023	13	4
22.01.2022	MSO023	16	4
22.01.2022	MSO255	128	47
22.01.2022	MSO023	7	3
22.01.2022	MSO121	36	9
22.01.2022	MSO231	83	28
22.01.2022	MSO023	165	63
22.01.2022	MSO671	54	27
22.01.2022	MSO671	123	121
22.01.2022	MSO671	91	46
22.01.2022	MSO121	191	113
22.01.2022	MSO671	72	36
22.01.2022	MSO671	4	1
23.01.2022	MSO671	121	81
23.01.2022	MSO121	151	85
23.01.2022	MSO023	164	75
23.01.2022	MSO255	127	80
23.01.2022	MSO671	83	28
23.01.2022	MSO231	171	122
23.01.2022	MSO121	37	9
23.01.2022	MSO671	163	122
23.01.2022	MSO023	51	13
23.01.2022	MSO023	69	23
23.01.2022	MSO121	161	108
23.01.2022	MSO671	13	4
23.01.2022	MSO671	190	94
23.01.2022	MSO671	132	66
24.01.2022	MSO231	101	50
24.01.2022	MSO121	52	17
24.01.2022	MSO671	62	21
24.01.2022	MSO671	147	80
24.01.2022	MSO231	82	21
24.01.2022	MSO671	144	124
24.01.2022	MSO671	107	51
24.01.2022	MSO255	66	17
25.01.2022	MSO023	153	98
25.01.2022	MSO023	152	56
25.01.2022	MSO023	11	4
25.01.2022	MSO671	46	23
25.01.2022	MSO231	60	20
25.01.2022	MSO023	77	19
25.01.2022	MSO231	194	106
26.01.2022	MSO121	195	86
26.01.2022	MSO671	18	5
26.01.2022	MSO121	99	33
26.01.2022	MSO671	77	26
26.01.2022	MSO023	197	68
26.01.2022	MSO671	73	24
26.01.2022	MSO231	190	108
26.01.2022	MSO231	83	42
26.01.2022	MSO023	54	14
26.01.2022	MSO023	78	26
26.01.2022	MSO231	29	10
26.01.2022	MSO023	172	127
26.01.2022	MSO121	144	73
26.01.2022	MSO231	26	13
27.01.2022	MSO671	90	45
27.01.2022	MSO023	8	6
27.01.2022	MSO671	151	113
27.01.2022	MSO023	63	16
27.01.2022	MSO231	124	123
27.01.2022	MSO671	101	70
27.01.2022	MSO023	58	15
27.01.2022	MSO121	89	30
27.01.2022	MSO121	151	92
28.01.2022	MSO671	152	73
28.01.2022	MSO671	23	8
28.01.2022	MSO231	66	22
28.01.2022	MSO671	79	20
28.01.2022	MSO671	41	21
28.01.2022	MSO231	135	70
28.01.2022	MSO671	102	72
28.01.2022	MSO671	80	20
28.01.2022	MSO231	30	8
28.01.2022	MSO671	173	60
28.01.2022	MSO671	27	14
28.01.2022	MSO121	125	83
28.01.2022	MSO121	16	4
28.01.2022	MSO671	134	73
28.01.2022	MSO231	150	51
29.01.2022	MSO121	44	15
29.01.2022	MSO231	37	9
29.01.2022	MSO671	48	24
29.01.2022	MSO121	64	32
29.01.2022	MSO671	57	29
29.01.2022	MSO121	33	8
29.01.2022	MSO023	140	79
29.01.2022	MSO671	89	45
29.01.2022	MSO121	57	14
29.01.2022	MSO671	64	32
29.01.2022	MSO231	28	9
29.01.2022	MSO023	119	62
29.01.2022	MSO121	159	130
29.01.2022	MSO121	187	71
29.01.2022	MSO023	146	64
29.01.2022	MSO671	82	21
29.01.2022	MSO671	169	86
29.01.2022	MSO671	54	27
29.01.2022	MSO121	158	142
29.01.2022	MSO231	172	74
30.01.2022	MSO255	164	56
30.01.2022	MSO671	180	166
30.01.2022	MSO255	77	19
30.01.2022	MSO231	140	83
30.01.2022	MSO255	36	18
30.01.2022	MSO023	140	76
30.01.2022	MSO121	11	6
30.01.2022	MSO231	86	29
30.01.2022	MSO671	105	47
30.01.2022	MSO121	11	4
30.01.2022	MSO671	177	172
30.01.2022	MSO231	176	65
30.01.2022	MSO231	66	17
30.01.2022	MSO231	35	12
31.01.2022	MSO121	162	129
31.01.2022	MSO023	130	57
31.01.2022	MSO671	139	50
31.01.2022	MSO121	117	113
31.01.2022	MSO121	142	64
31.01.2022	MSO121	18	6
31.01.2022	MSO023	197	67
31.01.2022	MSO671	108	45
31.01.2022	MSO231	117	49
31.01.2022	MSO671	140	85
31.01.2022	MSO121	168	61
31.01.2022	MSO023	106	58
01.02.2022	MSO671	68	34
01.02.2022	MSO671	190	102
01.02.2022	MSO671	195	99
01.02.2022	MSO671	45	11
01.02.2022	MSO231	11	4
01.02.2022	MSO255	176	100
01.02.2022	MSO023	19	5
01.02.2022	MSO023	86	29
01.02.2022	MSO671	75	25
01.02.2022	MSO231	80	20
01.02.2022	MSO671	153	68
01.02.2022	MSO231	84	28
01.02.2022	MSO671	155	127
01.02.2022	MSO231	113	63
01.02.2022	MSO121	48	12
02.02.2022	MSO023	141	50
02.02.2022	MSO671	115	47
02.02.2022	MSO671	126	78
02.02.2022	MSO255	67	22
02.02.2022	MSO671	137	52
02.02.2022	MSO023	41	21
02.02.2022	MSO023	13	4
02.02.2022	MSO231	56	19
02.02.2022	MSO023	124	43
02.02.2022	MSO231	12	4
02.02.2022	MSO671	144	57
02.02.2022	MSO671	20	7
02.02.2022	MSO671	44	15
02.02.2022	MSO231	129	48
02.02.2022	MSO671	49	16
02.02.2022	MSO231	104	67
02.02.2022	MSO255	17	9
02.02.2022	MSO671	52	17
02.02.2022	MSO671	45	23
02.02.2022	MSO023	184	94
02.02.2022	MSO231	172	58
02.02.2022	MSO023	193	154
02.02.2022	MSO671	103	35
03.02.2022	MSO023	148	59
03.02.2022	MSO231	136	59
03.02.2022	MSO121	110	55
03.02.2022	MSO023	26	13
03.02.2022	MSO671	43	22
03.02.2022	MSO023	136	65
03.02.2022	MSO231	32	11
03.02.2022	MSO671	181	85
03.02.2022	MSO023	33	11
03.02.2022	MSO671	66	17
03.02.2022	MSO671	137	120
03.02.2022	MSO671	97	49
03.02.2022	MSO023	148	116
03.02.2022	MSO231	92	31
03.02.2022	MSO671	10	3
04.02.2022	MSO231	112	66
04.02.2022	MSO023	146	56
04.02.2022	MSO121	46	15
04.02.2022	MSO121	34	9
04.02.2022	MSO671	72	24
04.02.2022	MSO255	114	104
04.02.2022	MSO231	119	44
04.02.2022	MSO231	86	22
04.02.2022	MSO023	64	32
04.02.2022	MSO231	93	47
04.02.2022	MSO121	80	20
04.02.2022	MSO231	186	85
04.02.2022	MSO671	181	81
04.02.2022	MSO671	28	14
05.02.2022	MSO023	118	59
05.02.2022	MSO671	133	98
05.02.2022	MSO023	134	126
05.02.2022	MSO023	162	56
05.02.2022	MSO023	179	62
05.02.2022	MSO671	174	69
05.02.2022	MSO671	116	73
05.02.2022	MSO023	16	4
05.02.2022	MSO023	57	19
05.02.2022	MSO671	33	8
05.02.2022	MSO023	10	3
05.02.2022	MSO023	196	112
06.02.2022	MSO671	115	64
06.02.2022	MSO255	199	80
06.02.2022	MSO671	149	50
06.02.2022	MSO671	18	5
06.02.2022	MSO671	13	4
07.02.2022	MSO231	75	19
07.02.2022	MSO023	126	51
07.02.2022	MSO671	185	66
07.02.2022	MSO023	98	49
07.02.2022	MSO231	156	108
07.02.2022	MSO023	131	61
07.02.2022	MSO671	187	116
07.02.2022	MSO671	46	12
07.02.2022	MSO023	22	11
07.02.2022	MSO671	117	44
07.02.2022	MSO023	191	117
07.02.2022	MSO023	119	64
07.02.2022	MSO671	82	21
07.02.2022	MSO671	147	76
08.02.2022	MSO023	147	78
08.02.2022	MSO121	191	72
08.02.2022	MSO671	156	59
08.02.2022	MSO671	110	79
08.02.2022	MSO023	183	62
08.02.2022	MSO121	58	15
08.02.2022	MSO671	42	14
08.02.2022	MSO231	198	94
08.02.2022	MSO671	82	27
08.02.2022	MSO671	11	4
08.02.2022	MSO671	113	61
08.02.2022	MSO121	44	15
08.02.2022	MSO231	49	12
09.02.2022	MSO023	190	71
09.02.2022	MSO231	126	56
09.02.2022	MSO671	90	30
09.02.2022	MSO671	146	73
09.02.2022	MSO671	108	43
09.02.2022	MSO671	104	78
09.02.2022	MSO231	42	14
10.02.2022	MSO023	63	21
10.02.2022	MSO023	111	64
10.02.2022	MSO023	57	14
10.02.2022	MSO121	90	45
10.02.2022	MSO121	13	3
10.02.2022	MSO671	117	74
10.02.2022	MSO671	153	61
10.02.2022	MSO023	34	17
10.02.2022	MSO231	90	23
10.02.2022	MSO671	89	45
10.02.2022	MSO671	130	104
10.02.2022	MSO671	27	14
10.02.2022	MSO255	136	114
10.02.2022	MSO671	169	67
10.02.2022	MSO231	116	52
10.02.2022	MSO671	41	14
10.02.2022	MSO121	79	20
10.02.2022	MSO023	126	57
11.02.2022	MSO231	167	110
11.02.2022	MSO671	65	22
11.02.2022	MSO671	180	164
11.02.2022	MSO671	82	27
11.02.2022	MSO231	33	11
11.02.2022	MSO023	37	9
11.02.2022	MSO023	54	27
11.02.2022	MSO671	98	25
11.02.2022	MSO121	184	121
11.02.2022	MSO671	25	6
11.02.2022	MSO671	88	29
11.02.2022	MSO023	79	40
11.02.2022	MSO671	170	62
12.02.2022	MSO671	180	110
12.02.2022	MSO671	94	31
12.02.2022	MSO255	173	78
12.02.2022	MSO671	17	4
12.02.2022	MSO023	70	35
12.02.2022	MSO231	176	97
12.02.2022	MSO231	199	105
12.02.2022	MSO231	199	153
12.02.2022	MSO671	38	13
12.02.2022	MSO671	138	80
12.02.2022	MSO023	107	75
12.02.2022	MSO671	54	18
12.02.2022	MSO231	14	7
12.02.2022	MSO255	31	16
12.02.2022	MSO023	93	23
12.02.2022	MSO023	176	91
12.02.2022	MSO023	114	58
12.02.2022	MSO231	103	56
12.02.2022	MSO671	76	25
12.02.2022	MSO671	133	63
12.02.2022	MSO023	38	19
12.02.2022	MSO023	117	57
12.02.2022	MSO671	124	79
13.02.2022	MSO231	111	102
13.02.2022	MSO231	168	61
13.02.2022	MSO671	193	70
13.02.2022	MSO671	119	46
13.02.2022	MSO023	56	19
13.02.2022	MSO671	83	42
13.02.2022	MSO231	13	4
13.02.2022	MSO121	181	94
13.02.2022	MSO121	169	66
13.02.2022	MSO121	195	68
13.02.2022	MSO231	49	25
13.02.2022	MSO231	136	78
13.02.2022	MSO671	136	64
14.02.2022	MSO023	60	30
14.02.2022	MSO023	32	11
14.02.2022	MSO231	174	77
14.02.2022	MSO121	61	31
14.02.2022	MSO231	103	39
14.02.2022	MSO231	172	65
14.02.2022	MSO671	167	70
14.02.2022	MSO231	35	12
14.02.2022	MSO121	57	14
14.02.2022	MSO023	128	67
14.02.2022	MSO671	182	89
15.02.2022	MSO671	148	54
15.02.2022	MSO671	93	31
15.02.2022	MSO023	14	5
15.02.2022	MSO671	58	19
15.02.2022	MSO231	177	150
15.02.2022	MSO023	148	77
15.02.2022	MSO231	95	48
15.02.2022	MSO231	119	48
15.02.2022	MSO671	138	81
15.02.2022	MSO023	117	39
15.02.2022	MSO671	72	24
15.02.2022	MSO671	109	68
15.02.2022	MSO231	23	12
16.02.2022	MSO023	18	5
16.02.2022	MSO671	171	70
16.02.2022	MSO231	68	34
16.02.2022	MSO671	183	91
16.02.2022	MSO255	176	117
16.02.2022	MSO023	77	26
16.02.2022	MSO671	125	119
16.02.2022	MSO121	192	125
16.02.2022	MSO231	63	16
16.02.2022	MSO023	126	61
16.02.2022	MSO255	144	94
16.02.2022	MSO671	56	14
16.02.2022	MSO023	33	8
17.02.2022	MSO121	131	98
17.02.2022	MSO023	42	21
17.02.2022	MSO023	155	69
17.02.2022	MSO671	99	50
17.02.2022	MSO023	172	154
17.02.2022	MSO231	177	69
17.02.2022	MSO121	109	40
17.02.2022	MSO671	67	17
17.02.2022	MSO255	85	28
18.02.2022	MSO671	147	66
18.02.2022	MSO023	155	102
18.02.2022	MSO023	11	6
18.02.2022	MSO023	160	76
18.02.2022	MSO255	80	20
18.02.2022	MSO023	62	16
18.02.2022	MSO671	52	26
19.02.2022	MSO121	66	17
19.02.2022	MSO671	118	48
19.02.2022	MSO671	60	30
19.02.2022	MSO671	82	41
19.02.2022	MSO671	173	151
19.02.2022	MSO671	86	29
19.02.2022	MSO231	157	69
19.02.2022	MSO255	64	21
19.02.2022	MSO231	116	77
19.02.2022	MSO671	140	107
19.02.2022	MSO231	158	54
19.02.2022	MSO231	163	77
19.02.2022	MSO231	14	7
19.02.2022	MSO121	179	110
19.02.2022	MSO671	186	127
19.02.2022	MSO023	82	41
19.02.2022	MSO671	67	34
19.02.2022	MSO121	10	5
20.02.2022	MSO671	55	28
20.02.2022	MSO671	89	22
20.02.2022	MSO671	19	6
20.02.2022	MSO121	74	25
20.02.2022	MSO671	93	23
20.02.2022	MSO671	190	94
20.02.2022	MSO231	140	71
20.02.2022	MSO121	104	48
20.02.2022	MSO231	31	8
20.02.2022	MSO671	91	23
20.02.2022	MSO121	144	82
20.02.2022	MSO671	110	44
20.02.2022	MSO023	118	66
20.02.2022	MSO121	58	19
20.02.2022	MSO231	82	21
20.02.2022	MSO671	140	49
21.02.2022	MSO671	24	8
21.02.2022	MSO231	67	22
21.02.2022	MSO231	166	134
21.02.2022	MSO023	48	24
21.02.2022	MSO231	70	35
21.02.2022	MSO023	64	21
21.02.2022	MSO255	111	38
21.02.2022	MSO231	38	10
21.02.2022	MSO121	34	17
21.02.2022	MSO231	168	70
21.02.2022	MSO121	55	28
21.02.2022	MSO231	184	125
22.02.2022	MSO231	50	13
22.02.2022	MSO023	182	115
22.02.2022	MSO255	148	90
22.02.2022	MSO023	94	24
22.02.2022	MSO023	151	147
22.02.2022	MSO671	27	7
22.02.2022	MSO671	99	33
22.02.2022	MSO023	19	10
22.02.2022	MSO121	53	13
23.02.2022	MSO231	150	63
23.02.2022	MSO671	173	132
23.02.2022	MSO121	64	21
23.02.2022	MSO671	42	11
23.02.2022	MSO023	44	15
23.02.2022	MSO231	160	74
23.02.2022	MSO671	101	44
23.02.2022	MSO671	125	106
23.02.2022	MSO231	137	51
23.02.2022	MSO121	174	87
23.02.2022	MSO023	49	16
23.02.2022	MSO023	168	102
23.02.2022	MSO255	100	25
23.02.2022	MSO231	127	43
23.02.2022	MSO121	58	19
23.02.2022	MSO671	108	90
23.02.2022	MSO671	101	70
24.02.2022	MSO023	39	10
24.02.2022	MSO231	186	76
24.02.2022	MSO023	179	116
24.02.2022	MSO671	133	49
24.02.2022	MSO023	168	58
24.02.2022	MSO023	194	104
24.02.2022	MSO231	143	77
24.02.2022	MSO023	80	20
24.02.2022	MSO231	109	50
24.02.2022	MSO023	58	29
24.02.2022	MSO255	44	15
24.02.2022	MSO231	14	7
24.02.2022	MSO023	31	10
24.02.2022	MSO671	76	19
24.02.2022	MSO121	66	33
24.02.2022	MSO671	82	21
24.02.2022	MSO671	186	72
24.02.2022	MSO023	107	46
24.02.2022	MSO671	62	16
25.02.2022	MSO121	200	82
25.02.2022	MSO023	99	33
25.02.2022	MSO231	160	54
25.02.2022	MSO671	15	8
25.02.2022	MSO671	67	17
25.02.2022	MSO231	62	31
25.02.2022	MSO671	124	78
25.02.2022	MSO671	44	22
25.02.2022	MSO121	45	23
25.02.2022	MSO231	197	86
26.02.2022	MSO671	160	82
26.02.2022	MSO023	19	10
26.02.2022	MSO121	69	23
26.02.2022	MSO671	14	5
26.02.2022	MSO255	172	60
26.02.2022	MSO231	55	18
26.02.2022	MSO671	142	69
26.02.2022	MSO023	43	22
26.02.2022	MSO231	144	66
26.02.2022	MSO023	172	94
26.02.2022	MSO121	199	87
26.02.2022	MSO121	82	41
26.02.2022	MSO231	71	36
26.02.2022	MSO255	196	118
26.02.2022	MSO671	138	65
26.02.2022	MSO671	155	63
26.02.2022	MSO231	15	5
26.02.2022	MSO121	48	16
26.02.2022	MSO023	112	41
26.02.2022	MSO671	168	90
27.02.2022	MSO023	16	4
27.02.2022	MSO023	44	11
27.02.2022	MSO121	199	107
27.02.2022	MSO121	54	18
27.02.2022	MSO023	149	91
27.02.2022	MSO231	71	36
27.02.2022	MSO121	143	51
27.02.2022	MSO671	120	104
27.02.2022	MSO121	52	26
27.02.2022	MSO671	81	27
28.02.2022	MSO023	115	87
28.02.2022	MSO023	123	45
28.02.2022	MSO121	132	51
28.02.2022	MSO671	28	14
28.02.2022	MSO671	63	16
28.02.2022	MSO231	12	3
28.02.2022	MSO023	174	59
28.02.2022	MSO023	155	70
28.02.2022	MSO671	147	56
28.02.2022	MSO121	57	14
28.02.2022	MSO231	17	6
28.02.2022	MSO671	112	42
28.02.2022	MSO671	106	96
28.02.2022	MSO023	93	23
28.02.2022	MSO231	61	20
28.02.2022	MSO231	159	60
28.02.2022	MSO671	195	153
01.03.2022	MSO023	182	105
01.03.2022	MSO671	86	22
01.03.2022	MSO231	112	54
01.03.2022	MSO121	49	25
01.03.2022	MSO023	109	103
01.03.2022	MSO231	100	33
01.03.2022	MSO255	49	12
01.03.2022	MSO023	71	18
01.03.2022	MSO121	32	11
01.03.2022	MSO671	148	57
01.03.2022	MSO255	13	7
01.03.2022	MSO671	52	13
01.03.2022	MSO231	11	4
01.03.2022	MSO023	45	15
01.03.2022	MSO121	163	123
02.03.2022	MSO255	153	103
02.03.2022	MSO231	52	17
02.03.2022	MSO231	79	20
02.03.2022	MSO671	146	50
02.03.2022	MSO671	70	23
02.03.2022	MSO121	14	5
02.03.2022	MSO671	108	44
02.03.2022	MSO231	181	167
02.03.2022	MSO231	197	132
02.03.2022	MSO023	192	154
02.03.2022	MSO023	182	135
02.03.2022	MSO023	72	24
02.03.2022	MSO231	151	144
02.03.2022	MSO023	169	56
02.03.2022	MSO023	62	31
02.03.2022	MSO121	121	46
02.03.2022	MSO671	93	47
02.03.2022	MSO671	133	117
02.03.2022	MSO023	18	9
03.03.2022	MSO121	135	72
03.03.2022	MSO671	89	45
03.03.2022	MSO671	131	55
03.03.2022	MSO255	74	25
03.03.2022	MSO023	141	117
03.03.2022	MSO023	142	53
03.03.2022	MSO671	25	6
03.03.2022	MSO023	23	6
03.03.2022	MSO671	145	66
03.03.2022	MSO671	110	83
03.03.2022	MSO671	135	74
03.03.2022	MSO255	59	15
04.03.2022	MSO121	29	7
04.03.2022	MSO023	176	140
04.03.2022	MSO671	101	84
04.03.2022	MSO121	112	44
04.03.2022	MSO671	130	110
04.03.2022	MSO231	84	42
04.03.2022	MSO121	16	4
04.03.2022	MSO671	117	51
04.03.2022	MSO023	111	38
04.03.2022	MSO121	127	70
04.03.2022	MSO671	98	25
04.03.2022	MSO231	53	27
04.03.2022	MSO671	134	66
04.03.2022	MSO121	179	62
04.03.2022	MSO023	132	91
04.03.2022	MSO671	151	52
05.03.2022	MSO231	20	7
05.03.2022	MSO121	18	6
05.03.2022	MSO023	21	5
05.03.2022	MSO023	186	104
05.03.2022	MSO671	115	50
05.03.2022	MSO121	56	19
05.03.2022	MSO255	109	56
05.03.2022	MSO231	161	138
05.03.2022	MSO231	99	33
05.03.2022	MSO231	140	92
05.03.2022	MSO671	73	18
06.03.2022	MSO671	146	60
06.03.2022	MSO023	151	142
06.03.2022	MSO023	161	68
06.03.2022	MSO121	161	81
06.03.2022	MSO023	27	9
06.03.2022	MSO671	86	43
06.03.2022	MSO671	55	18
06.03.2022	MSO671	116	43
07.03.2022	MSO671	151	129
07.03.2022	MSO671	37	12
07.03.2022	MSO023	98	49
07.03.2022	MSO231	10	3
07.03.2022	MSO023	144	114
07.03.2022	MSO023	90	23
