c1;c2;c3;c4
88;4;3;8
24;3;4;4
45;3;0;5
10;3;0;10
93;2;3;13
68;5;3;8
37;2;2;17
50;1;0;10
28;0;3;8
23;2;3;3
92;1;2;12
98;0;3;18
71;1;1;11
39;4;4;19
75;5;0;15
57;1;2;17
86;2;1;6
22;1;2;2
75;5;0;15
5;5;0;5
42;0;2;2
19;5;4;19
38;3;3;18
73;3;3;13
5;5;0;5
93;2;3;13
16;2;1;16
31;3;1;11
27;6;2;7
81;4;1;1
72;2;2;12
24;3;4;4
88;4;3;8
35;0;0;15
99;1;4;19
98;0;3;18
18;4;3;18
24;3;4;4
78;1;3;18
0;0;0;0
98;0;3;18
35;0;0;15
68;5;3;8
66;3;1;6
51;2;1;11
72;2;2;12
91;0;1;11
69;6;4;9
54;5;4;14
99;1;4;19
71;1;1;11
55;6;0;15
58;2;3;18
56;0;1;16
52;3;2;12
15;1;0;15
6;6;1;6
76;6;1;16
7;0;2;7
63;0;3;3
13;6;3;13
97;6;2;17
55;6;0;15
40;5;0;0
91;0;1;11
86;2;1;6
22;1;2;2
38;3;3;18
47;5;2;7
42;0;2;2
81;4;1;1
75;5;0;15
67;4;2;7
40;5;0;0
86;2;1;6
82;5;2;2
85;1;0;5
13;6;3;13
47;5;2;7
30;2;0;10
95;4;0;15
92;1;2;12
42;0;2;2
10;3;0;10
15;1;0;15
75;5;0;15
74;4;4;14
56;0;1;16
53;4;3;13
88;4;3;8
94;3;4;14
22;1;2;2
91;0;1;11
46;4;1;6
83;6;3;3
45;3;0;5
16;2;1;16
69;6;4;9
23;2;3;3
84;0;4;4
69;6;4;9
19;5;4;19
9;2;4;9
63;0;3;3
27;6;2;7
33;5;3;13
28;0;3;8
97;6;2;17
23;2;3;3
28;0;3;8
25;4;0;5
49;0;4;9
44;2;4;4
92;1;2;12
10;3;0;10
17;3;2;17
76;6;1;16
40;5;0;0
36;1;1;16
75;5;0;15
43;1;3;3
40;5;0;0
81;4;1;1
88;4;3;8
49;0;4;9
46;4;1;6
20;6;0;0
4;4;4;4
42;0;2;2
39;4;4;19
11;4;1;11
80;3;0;0
45;3;0;5
32;4;2;12
80;3;0;0
77;0;2;17
47;5;2;7
82;5;2;2
66;3;1;6
