id_taksowki	rodzaj_zlecenia	strefa	kwota
125	b	1	154,36
118	b	4	3053,27
112	p	1	93,77
123	p	3	176,49
130	p	3	607,9
123	p	1	162,35
125	b	3	192,3
109	b	1	189,04
104	p	4	3136,76
121	p	4	4310,19
121	b	2	282,64
118	b	3	726,17
121	b	4	2572,2
122	p	4	252,07
125	p	1	197,28
107	p	2	131,82
119	b	3	515,75
120	p	4	4565,57
113	b	2	84,56
124	b	1	47,6
109	p	1	15,18
109	p	4	4470,75
106	p	4	4639,7
117	b	2	294,02
121	b	1	128,72
116	p	3	645,48
111	b	1	28,85
105	p	4	749,32
122	p	4	1131,81
106	b	2	331,62
110	b	3	872,15
121	b	1	113,16
124	p	4	2017,05
114	p	3	838,31
113	b	1	187,25
128	p	2	124,99
122	b	4	3026,77
128	p	2	189,75
111	b	4	1120,15
119	b	1	128,71
111	b	1	60,75
105	p	2	228,26
129	p	2	240,63
109	b	3	424,69
113	b	4	3139,17
109	p	3	813,52
128	b	2	322,68
112	b	4	4418,64
105	b	4	3426,06
113	b	4	2277,26
109	p	2	326,95
113	p	4	4801,88
113	p	4	2263,3
106	b	3	368,92
108	p	2	235,56
125	b	3	647,32
124	b	2	340,5
117	p	4	3783,17
121	b	3	697,79
110	p	3	456,2
112	p	4	1356,38
105	p	3	729,39
108	b	1	23,77
119	b	1	40,6
111	p	1	153,68
109	b	2	360,22
106	b	1	132,53
114	b	3	608,78
119	p	2	138,72
127	b	2	205,54
119	b	1	37,05
111	b	1	158,56
129	p	2	83,15
112	b	1	82,17
117	b	3	277,69
129	b	2	47,35
119	b	4	2395,67
117	b	3	974,13
104	b	4	4395,11
123	p	2	335,31
124	b	1	128,63
117	b	2	239,81
103	b	4	2141,37
116	p	1	99,61
111	p	2	366,82
122	b	4	1080,44
115	b	3	834,19
114	b	3	832,19
123	b	1	172,58
104	p	1	60,36
119	b	2	263,58
120	b	2	110,52
107	b	2	377,27
129	p	3	763,55
103	b	3	695,9
125	b	3	946,82
124	p	2	210,33
110	p	3	588,87
106	b	2	129,66
116	p	2	33,54
130	b	2	362,6
112	b	3	660,74
105	b	1	154,99
128	b	1	158,4
114	b	2	36,74
128	b	2	388,33
124	b	2	332,36
120	b	3	541,91
111	p	3	344,59
116	b	2	221,6
130	p	2	358,88
127	p	2	106,57
119	p	2	50,96
107	b	5	11242,64
108	b	2	292,87
119	p	4	2601,88
107	b	2	28,53
120	b	1	11,88
120	b	4	1412,85
104	p	1	48,03
117	b	1	35,03
105	b	2	49,9
112	b	3	242,5
104	b	1	124,75
107	b	2	252,9
104	b	1	181,6
122	p	1	21,56
117	b	1	127,04
121	p	2	338,23
117	p	3	637,31
123	p	3	520,87
128	b	2	283,09
114	b	2	182,55
110	p	4	4876,32
104	b	1	166,16
115	b	2	265,05
117	p	2	256,84
109	p	1	110,37
110	b	3	953,2
117	b	2	297,51
129	b	2	380,59
121	b	2	203,88
121	b	2	334,53
127	b	4	4578,76
129	b	1	44,98
110	b	1	164,67
123	b	2	201,27
115	p	3	219,39
120	p	1	127,28
112	p	3	355,63
110	b	3	583,3
121	p	4	3703,32
125	b	1	100,39
127	b	1	130,35
129	p	1	34,61
106	b	3	965,7
109	b	4	3205,32
130	p	1	115,27
122	p	3	585,54
108	b	4	411,14
127	p	2	38,13
112	p	2	186,32
107	b	5	9239,14
128	b	1	96,48
107	b	1	89,53
108	p	2	334,33
111	p	3	998,17
131	b	2	113,23
103	p	4	4581,37
108	b	2	393,03
118	p	2	48,35
124	b	4	3508,6
109	p	4	2399,67
130	p	1	57,42
127	p	2	220,5
124	b	1	58,93
112	b	3	834,99
125	b	2	339,01
105	p	3	182,38
119	b	3	726,3
120	b	3	471,95
114	b	3	384,12
119	b	1	87,04
122	b	2	120,27
116	p	4	2832,24
107	p	3	563,75
108	p	1	143,1
117	b	4	4321,68
122	p	2	279,6
125	b	3	386,53
103	p	3	793,04
119	b	2	101,41
123	p	4	1189,26
108	p	1	38,33
121	b	2	80,75
112	p	4	1835,32
128	p	1	182,45
112	p	4	4653,16
131	p	3	482,13
121	b	1	192,42
108	p	2	259,75
117	p	4	4970,63
127	p	2	314,97
108	p	2	171,19
117	b	4	3126,01
117	b	4	4875,22
115	b	4	2199,12
113	p	3	542,38
120	p	3	707,74
113	p	4	3687,51
123	b	2	135,79
105	b	2	181,68
114	b	2	71,5
129	b	4	2644,14
127	p	2	237,3
128	p	3	626,85
103	b	2	140,2
113	p	3	871,48
113	p	4	1988,32
120	b	1	33,1
113	p	1	69,47
111	p	4	3315,55
118	b	1	140,89
103	b	3	598,09
124	p	1	104,34
105	b	2	195,39
125	b	2	367,32
107	p	2	40,26
130	b	1	122,09
104	b	3	420,15
122	p	3	572,12
129	b	2	187,5
115	p	4	293,62
115	b	2	164,11
114	p	1	70,22
121	b	2	245,28
114	b	3	418,72
112	b	2	212,87
105	b	1	171,21
113	b	2	119,8
127	p	3	613,63
117	b	3	484,75
116	b	1	28,43
130	p	3	280,17
111	b	3	375,81
130	b	1	111,28
117	p	3	284,5
119	b	2	210,05
110	p	4	2604,46
119	b	2	138,36
122	b	1	72,6
131	b	3	914,63
123	p	3	999,45
125	b	3	672,95
130	p	3	602,27
129	b	4	2387,08
108	b	3	141,26
121	b	2	283,55
116	p	3	824,33
127	p	2	105,32
117	b	2	40,18
125	b	2	38,72
127	b	2	76,99
124	b	2	213,44
125	p	3	309,33
117	p	3	370,47
125	b	3	469,21
124	b	3	539,55
120	b	3	171,36
103	p	2	276,18
107	b	4	2075,86
122	p	3	184,43
118	p	3	196,15
127	b	4	2410,62
124	b	2	130,63
122	p	3	659,01
107	b	1	131,23
125	b	1	55,57
111	b	3	804,41
124	b	4	2423,66
115	p	4	2901,38
109	b	1	195,13
113	b	2	276,66
125	p	2	289,22
123	p	2	111,9
113	p	1	84,9
117	b	2	298,08
104	p	3	782,35
117	b	3	548,73
124	p	2	347,47
123	p	3	222,16
112	b	3	913,57
124	p	3	659,13
129	p	4	798,74
105	b	1	33,21
121	b	1	46,25
123	b	2	355,36
112	p	1	48,89
130	b	1	168,01
116	b	1	90,61
131	p	3	833,04
103	b	3	686,76
108	b	1	194,76
106	p	4	408,94
127	p	2	314,7
118	b	2	192,9
128	p	4	1394,36
109	p	4	2735,01
114	p	2	46,86
108	b	4	704,7
103	b	3	395,88
113	b	1	127,32
131	b	4	4816,1
131	p	3	568,43
114	b	1	197,96
115	b	1	58,57
125	b	3	665,08
113	b	2	365,41
131	b	3	91,92
130	b	4	2738,72
119	b	4	4697,79
108	p	1	161,8
129	b	1	17,52
108	b	3	275,83
111	b	1	145,27
110	b	3	213,27
131	b	1	127,45
116	p	3	197,76
112	p	4	665,67
110	b	3	894,69
103	b	1	199,88
112	p	2	233,64
113	b	4	3964,4
106	b	3	935,49
118	p	4	1147,28
129	p	2	329,5
110	p	3	658,54
112	b	3	682,13
124	b	2	335,68
120	b	4	2446,14
111	p	4	4258,7
115	b	3	645,21
115	b	1	141,64
120	p	2	231,82
106	b	2	105,69
127	b	3	953,63
118	b	1	141,51
119	b	1	178,85
118	b	1	11,71
112	b	2	311,53
117	p	4	2245,95
111	b	1	140,99
109	p	1	133,16
129	p	1	67,79
106	b	2	118,34
120	b	3	647,79
125	b	4	549,29
113	b	3	495,66
106	b	2	167,15
119	b	2	240,52
122	b	1	26,05
116	b	1	196,5
124	b	2	238,03
112	p	4	626,77
115	b	4	2725,93
127	b	5	5370,87
125	b	2	392,24
130	b	1	105,27
130	p	2	310,3
108	b	4	450,92
120	p	2	341,63
105	p	4	803,44
117	p	3	498,6
109	p	3	427,02
115	b	1	173,6
113	b	3	98,93
106	b	3	419,37
108	b	3	153,16
122	p	4	700,74
115	p	4	4096,92
127	p	2	264,06
130	p	1	195,74
123	b	4	4130,73
112	b	3	749,25
105	b	3	421,24
108	b	2	69,32
113	p	3	440,64
123	p	3	511,02
123	b	3	128,14
106	p	3	259,63
127	b	1	108,24
118	b	4	2381,78
124	p	1	147,19
104	b	1	122,91
117	p	4	3806,2
104	b	3	637,5
121	p	3	857,61
123	b	1	41,15
111	b	2	54,48
104	b	3	823,11
116	b	4	1656,69
106	p	1	119,33
116	b	1	181,37
110	b	1	118,26
107	b	4	2797,81
128	b	1	187,75
123	p	1	89,05
114	b	3	510,13
108	b	1	110,67
110	p	1	119,08
108	b	4	383,04
120	b	3	684,21
109	b	1	84,6
115	b	4	3626,01
112	b	1	141,19
124	b	1	44,89
103	b	1	173,27
129	p	4	2856,2
130	b	3	912,43
124	p	1	116,86
112	b	3	276,82
117	p	1	160,28
121	b	4	2724,29
127	b	4	3315,97
114	b	2	176,9
104	b	1	100,2
117	p	3	431,03
119	b	1	159,38
109	p	4	2562,02
121	p	3	755,68
113	p	3	276,31
129	b	3	199,14
120	b	3	509,51
114	b	3	513,05
128	b	2	148,8
108	b	2	66,12
106	b	3	908,64
117	b	2	335,14
123	p	1	128,38
119	p	2	379,08
121	b	1	78,06
129	p	1	193,76
127	b	4	4297,85
121	b	3	769,28
104	p	1	37,22
110	p	3	318,08
122	p	1	26,6
111	b	3	673,01
130	p	1	41,21
119	b	1	197,63
119	p	1	172,45
111	b	1	193,12
117	p	4	4241,63
111	p	2	71,12
115	b	3	529,87
111	b	1	107,34
118	p	2	261,32
110	b	2	157,3
105	b	4	4466,74
119	b	1	118,8
109	b	3	994,88
105	b	1	107,64
118	b	1	194,09
115	b	3	681,55
116	p	1	170,07
122	b	3	672,6
130	b	3	328,95
112	p	4	605,66
120	b	2	336,2
108	b	1	161,52
103	b	2	164,87
113	b	3	154,09
109	b	3	143,41
117	p	4	773,45
112	p	3	499,38
130	b	4	2945,88
118	p	3	696,55
109	p	4	566,9
127	b	1	178,13
123	b	4	472,86
104	p	1	137,74
115	b	1	13,87
125	p	2	111,03
107	b	3	147,22
123	b	2	380,26
131	p	2	71,06
106	p	3	621,53
106	b	2	185,14
130	p	1	128,31
105	b	3	789,69
125	b	4	4345,11
131	b	1	114,12
128	p	3	701,95
123	p	3	99,45
128	b	1	172,62
122	b	2	59,72
130	p	1	187,15
112	b	1	69,79
107	p	1	64,87
111	b	4	3245,14
129	b	3	742,22
111	p	2	156,67
131	p	3	784,67
129	p	4	2628,45
122	p	3	596,04
108	b	1	110,97
105	p	4	3687,32
119	b	3	131,04
122	p	3	812,01
130	p	1	25,68
114	b	1	19,03
112	b	2	100,06
116	b	4	1785,62
105	p	3	750,41
107	p	2	271,66
131	p	2	119,28
103	p	1	196,08
108	p	2	368,65
104	b	1	101,23
103	p	2	98,22
107	b	3	671,78
107	b	3	188,86
109	b	1	142
112	p	3	503,79
117	p	1	159,54
127	p	2	84,8
114	p	2	296,68
116	b	1	149,08
110	b	1	109,45
104	b	2	131,43
129	b	4	3953,96
122	b	4	4147,53
116	b	4	4938,53
115	p	1	113,19
103	b	3	532,07
128	b	4	1333,77
110	p	2	73,6
119	p	4	3427,37
121	p	3	541,47
111	p	1	129,8
107	p	4	3097,11
104	b	3	344,93
106	b	4	2281,39
111	p	1	30,73
108	b	1	116,08
112	p	1	194,06
112	b	2	92,62
104	p	4	272,17
122	p	4	2898,02
113	b	3	163,67
104	b	3	317,71
128	b	4	4091,7
108	b	1	15,93
124	b	4	4848,4
125	b	1	187,55
117	p	1	105,87
129	b	3	692,69
130	b	2	375,81
107	p	1	129,09
113	b	3	521,71
130	b	5	6406,54
119	b	1	74,85
108	b	2	28,57
106	b	4	2519,81
119	b	2	29,73
123	p	3	717,24
127	b	2	185,26
123	b	2	228,04
121	p	4	4084,17
103	p	1	62,15
110	p	4	4809,34
107	b	3	627,38
125	b	2	345,48
108	b	1	11,38
125	b	4	2966,04
119	b	4	1679
130	b	4	3285,94
122	b	2	343,36
127	p	1	104,56
128	b	2	376,76
130	b	1	21,95
130	p	1	55,98
115	b	3	90,79
130	b	4	4876,62
120	p	3	517,52
112	p	1	65,92
123	b	3	484,53
115	p	2	200,19
109	p	2	351,6
113	b	3	808,7
114	b	2	208,85
123	b	3	997,22
130	p	3	630,93
117	p	2	115,24
114	b	1	38,86
121	b	2	132,53
113	b	4	3030,28
117	b	4	3589,23
124	b	2	235,44
131	p	2	101,84
119	b	1	103,03
115	b	2	229,09
115	p	2	29,26
106	p	3	128,87
125	p	3	454,98
120	b	3	925,78
121	p	2	389,22
125	b	3	516,01
118	p	1	165,73
111	p	2	103,81
125	b	2	219,83
131	b	2	69,83
122	b	1	133,75
123	b	2	306,87
131	p	3	159,03
119	b	1	34,41
106	b	2	358,98
129	p	1	181,7
120	b	2	230,7
128	p	2	351,13
131	b	1	70,94
111	b	4	804,29
114	b	1	103,69
113	b	2	322,64
128	b	4	2805,84
106	b	2	77,54
123	p	4	180,04
129	b	2	310,64
117	p	2	340,06
115	b	4	328,7
103	b	3	930,75
113	b	3	367,25
108	p	3	643,52
109	b	2	93,3
120	b	1	147,26
111	b	2	363,4
120	b	1	123,35
118	p	4	4456,86
115	p	4	850,55
110	b	4	3967,91
109	b	3	874,57
107	b	4	1485,23
104	b	3	245,76
119	b	1	21,14
130	b	4	1377,22
128	p	2	127,22
130	b	3	747,07
123	b	3	543,09
131	p	2	207,69
128	p	1	63,17
122	p	2	187,46
131	p	1	71,25
108	p	2	69,25
127	b	2	86,56
121	b	4	2722,63
123	b	2	27,32
107	p	1	79,32
128	b	1	109,59
104	p	3	904,87
119	b	1	61,81
117	b	4	4723,56
123	p	3	690,7
104	b	1	118,07
121	b	4	4635,77
122	p	2	273
119	p	3	909,65
107	b	1	72,98
118	b	3	885,16
107	b	2	281,54
115	b	1	109,93
130	b	2	86,13
119	p	4	3289,06
114	b	1	39,73
114	p	4	706,14
109	b	2	68,33
121	p	2	326,29
123	p	2	261,77
128	p	4	2675,9
122	p	3	90,01
103	b	1	10,83
122	p	4	2105,82
113	b	2	352,21
113	b	4	4828,21
111	b	4	2752,53
115	p	4	3630,17
128	b	1	29,42
123	p	4	3677,3
105	b	3	567,99
119	b	1	26,2
129	p	2	326,33
108	b	2	183,97
108	b	3	808,95
119	b	2	191,76
115	b	1	112,45
113	b	2	267,16
113	b	3	154,35
113	b	2	33,83
107	b	4	4307,95
130	b	4	4143,95
106	b	4	1056,68
118	b	4	295,56
117	b	2	172,96
122	p	3	800,33
124	p	4	2553,73
123	b	1	16,13
104	p	3	997,01
131	p	1	62,44
116	b	2	230,44
109	p	4	4263,65
118	b	4	3572,99
125	p	3	168,44
106	p	4	1258,67
122	p	4	4956,75
124	b	1	64,33
106	p	3	612,46
124	b	1	50,6
111	b	4	281,77
110	p	4	4968,17
113	p	4	549,81
110	b	1	127,22
125	p	4	4908,3
123	b	2	150,15
109	p	1	47,11
125	b	2	148,49
115	p	2	131,71
113	b	4	3163,79
111	p	2	371,25
104	p	2	243,42
105	p	4	2307,82
131	p	4	1429,91
111	b	4	4812,26
111	p	3	926,33
130	p	2	68,59
109	b	2	352,89
128	b	2	230,17
113	b	2	90,18
103	b	1	144,35
115	b	1	12,14
129	b	1	125,54
107	p	4	1359,08
107	b	2	223,44
127	b	1	167,1
128	b	4	4540,92
127	p	2	204,26
113	b	2	89,48
114	b	2	42,91
127	p	2	378,21
119	b	1	108,03
108	p	4	3490,66
117	b	3	666,93
119	b	4	1626,27
130	b	1	147,78
125	p	2	355,59
112	p	4	397,97
105	p	1	69,15
115	p	3	847,33
131	p	3	739,37
103	b	2	333,48
110	b	1	24,53
131	b	3	867,26
124	p	2	88,81
106	p	3	490,45
128	b	1	143,25
118	b	2	303,59
123	b	1	19,03
110	p	1	115,32
116	b	4	3569,94
103	b	3	383,58
127	p	3	607,87
109	p	2	193,55
107	p	2	348,05
124	b	2	349,43
105	b	2	117,31
114	b	4	1360,92
116	p	1	15,35
116	b	3	127,13
120	b	4	507,74
104	b	1	77,23
117	b	3	276,88
112	p	4	1484,61
123	b	2	374,87
120	p	3	425,41
130	b	4	819,47
114	b	2	280,92
122	p	1	137,86
108	p	1	92,71
122	b	1	53,38
123	p	1	141,59
109	b	2	294,73
131	p	2	295,22
117	b	3	526,29
106	p	1	41,09
130	b	1	103,86
113	b	4	2285,91
123	p	4	519,45
106	p	1	55,44
111	b	3	296,99
125	p	1	170,8
107	b	4	603,69
130	b	2	366,21
116	b	2	155,47
117	b	2	171,25
104	p	4	654,65
108	p	2	60,44
121	p	4	2185,49
116	b	1	172,71
115	b	1	26,46
118	b	4	3711,62
105	b	3	527,83
129	b	4	3318,2
120	p	3	515,81
107	b	4	3191,72
108	p	4	4589,65
118	p	1	96,75
121	b	3	938,88
130	b	2	307,92
128	b	2	242,01
121	b	4	3620,56
124	b	4	3929,65
115	b	1	17,73
109	b	1	12,83
109	p	1	144,2
115	b	1	75,81
108	b	5	6434,93
103	p	1	175,81
103	p	4	2154,26
117	b	1	80,26
124	p	1	121,04
122	b	4	1171,1
116	b	2	83,82
104	b	1	198,49
125	b	1	39,11
115	b	4	1814,55
104	b	4	1133,56
125	p	4	654,1
131	b	1	147,64
117	p	3	734,59
110	b	1	37,99
129	b	4	275,31
125	p	4	3846,15
120	b	3	929,23
115	b	4	779,35
116	p	3	190,48
104	p	3	512,18
114	p	4	628,48
122	p	4	4908,2
122	b	2	334,64
122	p	4	3323,82
120	b	3	239,85
123	p	1	71,43
103	p	1	86,6
104	b	2	319,14
131	p	3	903,39
105	p	4	3516,61
131	p	4	3283,27
111	b	4	3544,58
103	b	1	175,38
120	p	1	89,1
110	b	1	180,27
127	b	2	166,88
120	p	3	370,79
110	p	2	144,21
115	p	4	4150,41
122	b	2	119,88
