nr_rejestracyjny	kod_klienta	czas
CB 3603	kl18	2
CB 3632	kl32	1
CB 3608	kl11	3
CB 3614	kl40	5
CB 3601	kl21	1
CB 3600	kl11	4
CB 3635	kl14	5
CB 3601	kl35	1
CB 3602	kl3	2
CB 3635	kl3	4
CB 3631	kl31	2
CB 3635	kl35	5
CB 3633	kl1	5
CB 3619	kl22	5
CB 3618	kl3	3
CB 3628	kl9	3
CB 3619	kl18	5
CB 3604	kl8	2
CB 3607	kl16	4
CB 3600	kl2	4
CB 3612	kl14	5
CB 3627	kl33	3
CB 3601	kl13	3
CB 3608	kl17	3
CB 3601	kl38	4
CB 3630	kl12	2
CB 3630	kl5	3
CB 3607	kl21	1
CB 3611	kl19	1
CB 3625	kl11	4
CB 3620	kl36	4
CB 3606	kl40	3
CB 3606	kl36	3
CB 3619	kl36	2
CB 3622	kl19	2
CB 3612	kl7	2
CB 3623	kl9	2
CB 3603	kl35	5
CB 3609	kl37	5
CB 3625	kl14	2
CB 3632	kl30	5
CB 3600	kl22	3
CB 3615	kl20	1
CB 3620	kl25	5
CB 3605	kl18	5
CB 3618	kl28	3
CB 3604	kl20	3
CB 3602	kl25	4
CB 3633	kl41	4
CB 3627	kl7	1
CB 3615	kl31	5
CB 3604	kl41	5
CB 3609	kl34	3
CB 3611	kl18	1
CB 3626	kl3	5
CB 3616	kl20	1
CB 3626	kl18	1
CB 3634	kl33	3
CB 3625	kl10	2
CB 3626	kl15	4
CB 3624	kl15	1
CB 3631	kl37	2
CB 3626	kl18	2
CB 3612	kl8	2
CB 3621	kl27	5
CB 3602	kl13	4
CB 3631	kl6	4
CB 3613	kl10	1
CB 3625	kl25	1
CB 3628	kl37	2
CB 3619	kl38	5
CB 3609	kl25	4
CB 3627	kl11	5
CB 3617	kl12	3
CB 3623	kl14	3
CB 3632	kl34	5
CB 3635	kl5	1
CB 3630	kl15	1
CB 3610	kl37	3
CB 3618	kl10	3
CB 3630	kl13	1
CB 3604	kl24	2
CB 3613	kl36	2
CB 3611	kl12	1
CB 3632	kl40	2
CB 3607	kl32	3
CB 3632	kl37	4
CB 3614	kl7	5
CB 3616	kl14	4
CB 3614	kl40	4
CB 3629	kl20	5
CB 3601	kl25	2
CB 3602	kl31	1
CB 3620	kl16	2
CB 3617	kl10	4
CB 3630	kl13	2
CB 3632	kl15	4
CB 3628	kl39	2
CB 3608	kl4	5
CB 3613	kl6	1
CB 3622	kl40	3
CB 3603	kl36	3
CB 3619	kl25	5
CB 3604	kl35	3
CB 3620	kl15	5
CB 3627	kl14	3
CB 3620	kl22	5
CB 3620	kl24	1
CB 3630	kl26	1
CB 3601	kl34	3
CB 3634	kl18	1
CB 3632	kl9	5
CB 3623	kl12	3
CB 3600	kl10	2
CB 3610	kl3	1
CB 3615	kl22	1
CB 3622	kl32	5
CB 3634	kl17	2
CB 3608	kl27	3
CB 3635	kl40	1
CB 3626	kl15	4
CB 3630	kl34	4
CB 3628	kl40	5
CB 3602	kl32	4
CB 3611	kl3	4
CB 3627	kl35	5
CB 3608	kl17	2
CB 3609	kl27	2
CB 3621	kl32	4
CB 3628	kl7	1
CB 3611	kl8	1
CB 3621	kl9	5
CB 3602	kl24	4
CB 3600	kl39	2
CB 3619	kl24	1
CB 3610	kl29	4
CB 3611	kl20	4
CB 3626	kl40	5
CB 3604	kl21	5
CB 3618	kl6	1
CB 3613	kl42	3
CB 3629	kl29	3
CB 3604	kl15	4
CB 3615	kl17	2
CB 3624	kl37	5
CB 3621	kl9	3
CB 3605	kl11	3
CB 3601	kl6	1
CB 3617	kl20	1
CB 3617	kl3	1
CB 3610	kl40	2
CB 3626	kl23	2
CB 3618	kl29	3
CB 3611	kl42	4
CB 3618	kl26	2
CB 3626	kl10	4
CB 3606	kl24	3
CB 3621	kl40	5
CB 3632	kl2	4
CB 3618	kl8	5
CB 3632	kl14	5
CB 3617	kl11	5
CB 3606	kl6	5
CB 3600	kl6	3
CB 3602	kl24	5
CB 3606	kl28	3
CB 3602	kl30	5
CB 3622	kl26	3
CB 3628	kl5	2
CB 3615	kl24	3
CB 3609	kl6	5
CB 3617	kl38	2
CB 3630	kl30	2
CB 3625	kl26	1
CB 3622	kl37	5
CB 3621	kl15	3
CB 3625	kl12	3
CB 3613	kl9	1
CB 3605	kl28	5
CB 3610	kl5	2
CB 3611	kl38	2
CB 3600	kl40	5
CB 3631	kl18	3
CB 3626	kl25	1
CB 3601	kl8	3
CB 3612	kl30	3
CB 3628	kl22	1
CB 3618	kl3	5
CB 3607	kl6	5
CB 3610	kl39	4
CB 3628	kl41	2
CB 3632	kl30	1
CB 3634	kl40	3
CB 3615	kl26	5
CB 3608	kl9	1
CB 3626	kl23	2
CB 3628	kl17	5
CB 3625	kl2	1
CB 3619	kl10	5
CB 3607	kl6	2
CB 3602	kl22	3
CB 3610	kl37	5
CB 3602	kl24	3
CB 3602	kl8	2
CB 3601	kl31	5
CB 3614	kl32	1
CB 3621	kl38	2
CB 3619	kl39	1
CB 3609	kl35	3
CB 3628	kl19	1
CB 3626	kl20	4
CB 3620	kl12	2
CB 3601	kl37	5
CB 3603	kl29	4
CB 3616	kl42	1
CB 3628	kl30	4
CB 3602	kl2	5
CB 3608	kl5	5
CB 3622	kl15	4
CB 3602	kl35	4
CB 3606	kl17	5
CB 3631	kl6	5
CB 3606	kl9	5
CB 3627	kl41	2
CB 3605	kl8	4
CB 3633	kl27	1
CB 3630	kl7	5
CB 3619	kl7	1
CB 3600	kl3	1
CB 3635	kl26	5
CB 3603	kl23	4
CB 3622	kl12	1
CB 3611	kl41	4
CB 3631	kl15	1
CB 3621	kl42	2
CB 3624	kl31	5
CB 3626	kl3	2
CB 3618	kl9	4
CB 3629	kl7	4
CB 3605	kl23	3
CB 3619	kl2	1
CB 3629	kl11	5
CB 3600	kl38	1
CB 3605	kl19	4
CB 3634	kl20	2
CB 3610	kl33	3
CB 3617	kl29	4
CB 3633	kl11	1
CB 3634	kl24	1
CB 3617	kl2	1
CB 3608	kl32	4
CB 3632	kl9	5
CB 3603	kl28	5
CB 3615	kl42	5
CB 3619	kl19	2
CB 3611	kl18	3
CB 3619	kl35	2
CB 3609	kl33	2
CB 3631	kl17	3
CB 3610	kl4	2
CB 3609	kl35	1
CB 3621	kl24	1
CB 3605	kl38	5
CB 3610	kl8	2
CB 3604	kl27	2
CB 3607	kl34	2
CB 3616	kl27	5
CB 3607	kl21	4
CB 3609	kl17	2
CB 3602	kl24	5
CB 3631	kl19	3
CB 3619	kl36	2
CB 3632	kl11	1
CB 3618	kl16	3
CB 3611	kl13	5
CB 3603	kl16	1
CB 3602	kl20	3
CB 3630	kl12	4
CB 3630	kl39	2
CB 3609	kl35	4
CB 3610	kl3	3
CB 3609	kl24	1
CB 3617	kl2	5
CB 3618	kl33	5
CB 3619	kl11	4
CB 3621	kl32	5
CB 3634	kl33	2
CB 3634	kl27	2
CB 3618	kl12	1
CB 3612	kl21	5
CB 3602	kl29	4
CB 3621	kl28	3
CB 3631	kl37	4
CB 3626	kl6	3
CB 3622	kl28	3
CB 3620	kl37	5
CB 3635	kl41	5
CB 3612	kl24	3
CB 3607	kl33	4
CB 3625	kl24	4
CB 3605	kl14	4
CB 3622	kl32	2
CB 3625	kl5	3
CB 3614	kl35	4
CB 3614	kl38	4
CB 3633	kl28	5
CB 3617	kl12	3
CB 3606	kl19	5
CB 3623	kl22	5
CB 3632	kl5	1
CB 3635	kl28	5
CB 3618	kl40	2
CB 3600	kl26	3
CB 3608	kl14	5
CB 3619	kl33	1
CB 3603	kl40	1
CB 3620	kl25	3
CB 3625	kl41	1
CB 3609	kl38	1
CB 3632	kl27	2
CB 3601	kl30	4
CB 3618	kl8	1
CB 3627	kl34	5
CB 3616	kl8	5
CB 3601	kl22	5
CB 3631	kl2	4
CB 3635	kl29	5
CB 3635	kl14	5
CB 3602	kl30	1
CB 3633	kl3	4
CB 3613	kl3	1
CB 3622	kl34	2
CB 3622	kl8	3
CB 3623	kl31	2
CB 3621	kl9	5
CB 3624	kl5	2
CB 3630	kl33	3
CB 3613	kl27	2
CB 3635	kl10	3
CB 3610	kl1	1
CB 3611	kl32	3
CB 3615	kl7	3
CB 3619	kl7	2
CB 3611	kl11	3
CB 3625	kl23	4
CB 3624	kl6	4
CB 3635	kl12	5
CB 3615	kl1	1
CB 3620	kl17	2
CB 3603	kl17	2
CB 3621	kl7	1
CB 3612	kl28	2
CB 3628	kl4	3
CB 3623	kl5	3
CB 3631	kl38	3
CB 3618	kl9	5
CB 3624	kl26	1
CB 3620	kl11	2
CB 3608	kl39	1
CB 3603	kl1	5
CB 3602	kl25	1
CB 3607	kl22	2
CB 3633	kl16	1
CB 3620	kl30	1
CB 3635	kl30	4
CB 3635	kl27	3
CB 3609	kl5	5
CB 3609	kl42	4
CB 3618	kl9	1
CB 3617	kl32	3
CB 3618	kl30	5
CB 3628	kl24	5
CB 3634	kl29	3
CB 3615	kl16	5
CB 3628	kl24	4
CB 3628	kl21	1
CB 3610	kl3	3
CB 3606	kl5	5
CB 3620	kl6	2
CB 3601	kl22	4
CB 3622	kl38	5
CB 3624	kl29	4
CB 3609	kl9	5
CB 3618	kl37	4
CB 3621	kl31	4
CB 3600	kl14	5
CB 3608	kl40	3
CB 3608	kl1	2
CB 3610	kl2	5
CB 3606	kl16	1
CB 3633	kl13	2
CB 3615	kl16	1
CB 3621	kl36	2
CB 3634	kl6	2
CB 3611	kl17	3
CB 3625	kl14	1
CB 3619	kl9	1
CB 3632	kl27	2
CB 3624	kl28	1
CB 3622	kl38	4
CB 3615	kl31	2
CB 3628	kl24	2
CB 3605	kl28	4
CB 3613	kl31	1
CB 3605	kl32	1
CB 3611	kl34	2
CB 3602	kl29	5
CB 3614	kl32	3
CB 3632	kl27	1
CB 3614	kl6	4
CB 3602	kl28	2
CB 3620	kl24	1
CB 3612	kl12	2
CB 3627	kl39	5
CB 3605	kl31	5
CB 3623	kl8	2
CB 3635	kl28	1
CB 3634	kl3	2
CB 3628	kl42	1
CB 3601	kl38	4
CB 3611	kl17	5
CB 3605	kl23	3
CB 3628	kl21	5
CB 3625	kl19	1
CB 3626	kl34	1
CB 3627	kl16	4
CB 3629	kl1	3
CB 3635	kl32	5
CB 3628	kl4	3
CB 3609	kl31	4
CB 3605	kl6	2
CB 3615	kl5	1
CB 3610	kl18	5
CB 3602	kl14	3
CB 3627	kl42	3
CB 3628	kl12	4
CB 3624	kl21	1
CB 3602	kl12	5
CB 3604	kl13	1
CB 3631	kl39	1
CB 3609	kl16	5
CB 3605	kl31	2
CB 3626	kl10	5
CB 3600	kl12	4
CB 3616	kl36	5
CB 3618	kl39	5
CB 3615	kl42	3
CB 3634	kl16	3
CB 3620	kl9	1
CB 3615	kl11	2
CB 3622	kl39	3
CB 3621	kl34	2
CB 3604	kl10	5
CB 3625	kl19	3
CB 3613	kl16	4
CB 3626	kl23	4
CB 3626	kl38	2
CB 3602	kl39	3
CB 3627	kl32	4
CB 3616	kl39	3
CB 3615	kl26	1
CB 3634	kl6	3
CB 3601	kl11	4
CB 3628	kl38	4
CB 3633	kl14	5
CB 3614	kl35	5
CB 3607	kl8	3
CB 3632	kl27	3
CB 3613	kl9	2
CB 3635	kl14	1
CB 3626	kl4	2
CB 3626	kl16	1
CB 3633	kl23	1
CB 3627	kl25	2
CB 3634	kl27	2
CB 3625	kl31	2
CB 3608	kl36	2
CB 3619	kl32	1
CB 3635	kl42	5
CB 3619	kl30	1
CB 3632	kl30	3
CB 3632	kl26	2
CB 3627	kl4	2
CB 3604	kl21	5
CB 3601	kl2	4
CB 3627	kl31	5
CB 3616	kl5	1
CB 3630	kl14	2
CB 3614	kl23	3
CB 3611	kl9	3
CB 3600	kl35	5
CB 3629	kl27	3
CB 3618	kl21	4
CB 3620	kl17	2
CB 3601	kl25	5
CB 3613	kl22	4
CB 3619	kl11	2
CB 3609	kl9	3
CB 3620	kl26	4
CB 3617	kl30	3
CB 3603	kl9	3
CB 3609	kl12	2
CB 3610	kl7	1
CB 3610	kl11	3
CB 3616	kl32	5
CB 3623	kl15	3
CB 3610	kl18	5
CB 3614	kl31	5
CB 3626	kl1	2
CB 3601	kl11	1
CB 3615	kl2	4
CB 3628	kl5	5
CB 3629	kl28	5
CB 3619	kl33	5
CB 3602	kl10	1
CB 3632	kl28	4
CB 3634	kl20	4
CB 3630	kl29	5
CB 3603	kl3	3
CB 3615	kl25	3
CB 3628	kl42	1
CB 3603	kl24	1
CB 3617	kl9	5
CB 3612	kl29	4
CB 3633	kl19	4
CB 3617	kl26	4
CB 3600	kl20	5
CB 3603	kl27	5
CB 3603	kl1	3
CB 3621	kl7	4
CB 3624	kl42	2
CB 3610	kl29	3
CB 3625	kl41	2
CB 3635	kl7	1
CB 3628	kl24	2
CB 3631	kl29	1
CB 3624	kl15	5
CB 3609	kl17	3
CB 3614	kl30	4
CB 3632	kl18	1
CB 3619	kl5	1
CB 3600	kl9	5
CB 3630	kl15	3
CB 3613	kl24	3
CB 3626	kl36	2
CB 3625	kl3	3
CB 3612	kl19	1
CB 3603	kl37	1
CB 3604	kl4	5
CB 3606	kl40	5
CB 3613	kl12	4
CB 3609	kl14	3
CB 3635	kl29	5
CB 3628	kl36	5
CB 3628	kl35	1
CB 3611	kl1	2
CB 3615	kl33	5
CB 3624	kl36	3
CB 3618	kl37	2
CB 3611	kl7	2
CB 3618	kl20	2
CB 3629	kl39	2
CB 3611	kl29	1
CB 3629	kl30	3
CB 3609	kl36	1
CB 3615	kl33	5
CB 3611	kl38	4
CB 3631	kl27	2
CB 3613	kl28	1
CB 3605	kl40	2
CB 3617	kl7	4
CB 3603	kl22	4
CB 3625	kl19	4
CB 3624	kl15	1
CB 3633	kl39	2
CB 3610	kl22	5
CB 3632	kl21	1
CB 3625	kl37	3
CB 3633	kl24	1
CB 3605	kl13	2
CB 3609	kl36	1
CB 3635	kl14	2
CB 3613	kl12	5
CB 3612	kl38	5
CB 3603	kl42	2
CB 3626	kl11	3
CB 3612	kl22	5
CB 3613	kl11	2
CB 3627	kl23	1
CB 3633	kl38	2
CB 3600	kl30	2
CB 3619	kl12	2
CB 3616	kl14	3
CB 3622	kl11	3
CB 3605	kl7	1
CB 3629	kl13	2
CB 3616	kl37	3
CB 3613	kl10	2
CB 3623	kl18	1
CB 3624	kl20	4
CB 3624	kl6	4
CB 3614	kl36	3
CB 3621	kl31	5
CB 3629	kl25	1
CB 3608	kl33	1
CB 3609	kl5	2
CB 3626	kl13	1
CB 3613	kl42	1
CB 3628	kl22	3
CB 3627	kl3	4
CB 3606	kl39	4
CB 3608	kl27	5
CB 3624	kl30	1
CB 3603	kl14	5
CB 3624	kl14	3
CB 3606	kl9	2
CB 3603	kl2	2
CB 3614	kl41	5
CB 3626	kl12	2
CB 3608	kl20	2
CB 3613	kl5	1
CB 3603	kl23	5
CB 3618	kl11	3
CB 3621	kl40	1
CB 3601	kl15	4
CB 3634	kl19	1
CB 3618	kl26	2
CB 3607	kl32	1
CB 3600	kl31	1
CB 3632	kl27	1
CB 3608	kl22	3
CB 3604	kl5	3
CB 3620	kl30	4
CB 3623	kl40	1
CB 3631	kl27	3
CB 3630	kl6	4
CB 3625	kl15	2
CB 3620	kl18	1
CB 3624	kl28	3
CB 3614	kl27	2
CB 3630	kl23	1
CB 3603	kl27	4
CB 3628	kl28	4
CB 3632	kl41	5
CB 3614	kl24	3
CB 3615	kl1	1
CB 3626	kl11	4
CB 3626	kl13	1
CB 3609	kl37	3
CB 3603	kl26	1
CB 3608	kl10	4
CB 3632	kl28	3
CB 3604	kl6	4
CB 3610	kl4	4
CB 3616	kl8	3
CB 3629	kl25	1
CB 3627	kl3	2
CB 3628	kl3	1
CB 3624	kl38	4
CB 3613	kl26	3
CB 3634	kl24	3
CB 3625	kl42	4
CB 3617	kl34	3
CB 3601	kl29	2
CB 3612	kl39	3
CB 3601	kl17	4
CB 3618	kl1	3
CB 3635	kl17	4
CB 3621	kl29	1
CB 3619	kl35	2
CB 3607	kl3	4
CB 3623	kl21	2
CB 3628	kl7	2
CB 3618	kl21	3
CB 3606	kl5	5
CB 3615	kl41	5
CB 3615	kl30	4
CB 3630	kl42	3
CB 3625	kl27	1
CB 3624	kl13	3
CB 3613	kl22	2
CB 3605	kl36	5
CB 3626	kl17	2
CB 3600	kl18	1
CB 3601	kl33	3
CB 3601	kl12	2
CB 3601	kl8	3
CB 3631	kl24	5
CB 3628	kl30	2
CB 3630	kl21	5
CB 3620	kl30	2
CB 3627	kl5	4
CB 3608	kl37	3
CB 3634	kl13	1
CB 3609	kl32	2
CB 3610	kl20	3
CB 3613	kl38	5
CB 3623	kl18	5
CB 3605	kl15	1
CB 3600	kl4	4
CB 3604	kl13	4
CB 3617	kl6	5
CB 3611	kl8	2
CB 3633	kl28	3
CB 3630	kl27	2
CB 3623	kl42	1
CB 3625	kl1	5
CB 3623	kl22	4
CB 3603	kl34	2
CB 3635	kl23	5
CB 3634	kl28	3
CB 3603	kl41	3
CB 3622	kl28	5
CB 3632	kl10	5
CB 3612	kl18	4
CB 3619	kl5	4
CB 3626	kl27	4
CB 3613	kl36	1
CB 3621	kl5	4
CB 3630	kl39	4
CB 3615	kl39	5
CB 3607	kl30	1
CB 3631	kl33	5
CB 3632	kl34	5
CB 3632	kl11	5
CB 3632	kl28	3
CB 3617	kl38	3
CB 3610	kl11	2
CB 3630	kl1	1
CB 3616	kl26	5
CB 3622	kl41	1
CB 3630	kl19	4
CB 3624	kl17	2
CB 3617	kl42	5
CB 3614	kl26	2
CB 3631	kl27	5
CB 3620	kl2	3
CB 3610	kl39	3
CB 3633	kl15	4
CB 3606	kl33	4
CB 3627	kl38	2
CB 3609	kl1	5
CB 3626	kl16	2
CB 3626	kl1	2
CB 3609	kl17	2
CB 3600	kl13	2
CB 3623	kl35	2
CB 3608	kl16	2
CB 3634	kl20	4
CB 3614	kl9	3
CB 3628	kl38	2
CB 3635	kl34	3
CB 3604	kl2	1
CB 3635	kl28	3
CB 3611	kl41	1
CB 3619	kl29	3
CB 3615	kl31	4
CB 3605	kl9	5
CB 3613	kl26	3
CB 3605	kl27	2
CB 3629	kl1	1
CB 3633	kl25	1
CB 3600	kl28	1
CB 3609	kl18	4
CB 3603	kl1	2
CB 3635	kl26	4
CB 3617	kl18	1
CB 3625	kl12	5
CB 3622	kl7	1
CB 3625	kl38	5
CB 3627	kl15	2
CB 3622	kl3	2
CB 3630	kl33	2
CB 3609	kl32	3
CB 3608	kl34	1
CB 3631	kl7	2
CB 3624	kl37	5
CB 3631	kl4	4
CB 3624	kl19	3
CB 3601	kl11	3
CB 3611	kl10	3
CB 3618	kl35	3
CB 3618	kl19	1
CB 3610	kl32	1
CB 3617	kl41	3
CB 3613	kl36	1
CB 3635	kl23	5
CB 3609	kl18	3
CB 3610	kl22	3
CB 3618	kl20	4
CB 3628	kl12	3
CB 3616	kl36	4
CB 3611	kl12	2
CB 3602	kl31	4
CB 3627	kl26	5
CB 3602	kl39	3
CB 3629	kl1	1
CB 3630	kl31	1
CB 3615	kl33	1
CB 3602	kl38	3
CB 3612	kl34	5
CB 3615	kl8	3
CB 3633	kl7	3
CB 3614	kl21	5
CB 3628	kl17	2
CB 3632	kl38	1
CB 3633	kl25	4
CB 3624	kl2	3
CB 3605	kl6	5
CB 3622	kl7	1
CB 3609	kl35	5
CB 3634	kl41	3
CB 3601	kl41	2
CB 3607	kl37	2
CB 3606	kl39	1
CB 3633	kl24	4
CB 3629	kl15	4
CB 3628	kl19	5
CB 3618	kl7	5
CB 3608	kl29	5
CB 3604	kl6	2
CB 3611	kl13	1
CB 3613	kl2	2
CB 3616	kl37	2
CB 3602	kl39	3
CB 3612	kl20	2
CB 3629	kl32	3
CB 3604	kl11	2
CB 3620	kl20	3
CB 3601	kl1	2
CB 3600	kl3	5
CB 3632	kl5	5
CB 3619	kl22	1
CB 3603	kl21	1
CB 3608	kl34	2
CB 3606	kl3	1
CB 3611	kl38	5
CB 3612	kl33	5
CB 3626	kl14	1
CB 3606	kl16	2
CB 3631	kl42	3
CB 3617	kl31	2
CB 3604	kl20	2
CB 3613	kl41	3
CB 3626	kl16	2
CB 3611	kl1	2
CB 3634	kl35	1
CB 3624	kl42	2
CB 3601	kl12	4
CB 3625	kl34	1
CB 3630	kl1	5
CB 3611	kl15	4
CB 3616	kl7	5
CB 3617	kl24	2
CB 3615	kl34	1
CB 3619	kl28	1
CB 3617	kl41	4
CB 3617	kl9	1
CB 3633	kl3	3
CB 3624	kl34	5
CB 3631	kl38	2
CB 3634	kl30	3
CB 3628	kl6	5
CB 3627	kl32	2
CB 3615	kl6	1
CB 3604	kl19	1
CB 3616	kl17	1
CB 3614	kl12	4
CB 3633	kl40	5
CB 3621	kl7	4
CB 3625	kl42	3
CB 3622	kl25	2
CB 3611	kl9	2
CB 3635	kl39	1
CB 3613	kl38	4
CB 3600	kl29	3
CB 3601	kl25	4
CB 3632	kl19	4
CB 3631	kl12	5
CB 3626	kl21	2
CB 3617	kl1	3
CB 3608	kl30	5
CB 3617	kl30	3
CB 3629	kl36	4
CB 3601	kl38	3
CB 3628	kl37	5
CB 3620	kl8	5
CB 3602	kl24	5
CB 3632	kl11	3
CB 3626	kl17	1
CB 3623	kl28	2
